model,feature_set,imbalance,accuracy_mean,accuracy_std,accuracy_median,accuracy_iqr,worst_fold_accuracy,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_iqr,worst_fold_macro_f1,robustness_score,evaluable_folds
XGBoost,top_mi,balanced,0.9746101351391808,0.011921873791126018,0.972041847041847,0.01889560992258088,0.9626556016597511,0.9819055550329931,0.013614316670206182,0.9864871216394059,0.015192699304281243,0.9596994471220223,0.9750983966978901,4.0
LogisticRegression,top_mi,balanced,0.9763619769547451,0.008057165322649147,0.9796949082663369,0.005341329289165753,0.9626556016597511,0.9811807061410511,0.01243108676438439,0.9874862245944147,0.008891208799417849,0.9597503753753754,0.9749651627588589,4.0
SVM,top_mi,balanced,0.9791935037563372,0.01154871886048138,0.9822459286745001,0.01145200630233234,0.9605809128630706,0.9828013799600535,0.01602408674347939,0.9904547032280457,0.013024151826723673,0.955347583652984,0.9747893365883138,4.0
XGBoost,all_no_speed,balanced,0.9740233544694126,0.012996220112790448,0.9738441019561351,0.022185772963781214,0.9585062240663901,0.981043285389072,0.013636072806770086,0.9849492814104785,0.01321144564312704,0.9588617346986338,0.974225248985687,4.0
XGBoost,all_no_speed,unweighted,0.9745420266685827,0.013395454194883211,0.9748814463544755,0.023741789561291693,0.9585062240663901,0.9812225794980834,0.014480682548045147,0.9859964881649468,0.015126565043052098,0.9574844976257428,0.9739822382240608,4.0
XGBoost,all,unweighted,0.9740233544694126,0.012996220112790448,0.9738441019561351,0.022185772963781214,0.9585062240663901,0.9809701102498279,0.014337739802760053,0.9854915496684358,0.014369157298285695,0.9574844976257428,0.973801240348448,4.0
XGBoost,top_mi,unweighted,0.9740914629400107,0.013775840243206335,0.972041847041847,0.02045162652009125,0.9585062240663901,0.9812095378844756,0.016115343781192722,0.9864871216394059,0.016935161646401076,0.9548224881407478,0.9731518659938793,4.0
RandomForest,top_mi,unweighted,0.9748483009449221,0.012302459869721397,0.9745928674500103,0.01610642370867632,0.9585062240663901,0.980706687334028,0.016801384231375012,0.9877946127946128,0.015089430665771397,0.9522782843802843,0.9723059952183405,4.0
XGBoost,all,balanced,0.9704607575458198,0.01049078865076945,0.972041847041847,0.017858265524240635,0.9564315352697096,0.978828538997886,0.013694313881384665,0.9844423271914265,0.01207623194823082,0.9556887608679502,0.9719813820571936,4.0
LogisticRegression,top_mi,unweighted,0.9712433634336421,0.010711426990681661,0.9746444032158318,0.014163888867504637,0.9543568464730291,0.9776741758653615,0.01538418541503155,0.9846897702381694,0.011027959021047584,0.9513171629851072,0.9699820831578457,4.0
SVM,top_mi,unweighted,0.9705804017822394,0.017958750863901345,0.970562706410365,0.03174833054056536,0.9494949494949495,0.9780976065111572,0.017381663465012367,0.9828154976750236,0.02536713082864217,0.9518109009634433,0.969406774778651,4.0
RandomForest,all,unweighted,0.9742872881580646,0.015635355680613288,0.9796949082663369,0.010528051280866979,0.9481327800829875,0.9792132787816337,0.021443173432870846,0.9903703703703703,0.013502763884903901,0.9421617705342004,0.9684916920651983,4.0
RandomForest,all_no_speed,unweighted,0.9737686159588945,0.015144613109028983,0.9796949082663369,0.010009379081696856,0.9481327800829875,0.9786892869666048,0.02109950031907564,0.9903703703703703,0.012978772069875077,0.9421617705342004,0.968139536807067,4.0
RandomForest,all,balanced,0.9710051976279007,0.01408149845444854,0.9720933828076685,0.013449391450280568,0.950207468879668,0.977830005741325,0.01978893287350819,0.9867092471704316,0.013591827908512766,0.9439509247728427,0.9679355393045709,4.0
RandomForest,top_mi,balanced,0.9649596887667428,0.016333581104896844,0.9593212803793717,0.017998224689096065,0.9494949494949495,0.9755281685654815,0.01689036451487035,0.9792119893642737,0.01608971556065264,0.9487294561667765,0.9670829863080463,4.0
LogisticRegression,all_no_speed,balanced,0.9692706235015067,0.018252639777205096,0.9695253620120248,0.03319432576249415,0.9481327800829875,0.9735322156756343,0.020883719567710044,0.9776435863335351,0.034756604921693524,0.9445888164722488,0.9630903558917793,4.0
RandomForest,all_no_speed,balanced,0.9613547512554627,0.020266100381629345,0.959236599203997,0.03491927702805009,0.9393939393939394,0.9719625205630247,0.02138970699336097,0.9792955160417471,0.025825060585439763,0.9374044135771259,0.9612676670663441,4.0
LogisticRegression,all,balanced,0.9644325163738323,0.015697036684046567,0.9669743416038614,0.02787988702333688,0.9439834024896265,0.9702392370227346,0.02061429650833656,0.975560976128745,0.03175792638340402,0.9398349958334484,0.9599320887685664,4.0
LogisticRegression,all,unweighted,0.9613885916494096,0.014912738122854667,0.9630642524833397,0.019888528780052206,0.9398340248962656,0.9683968806827468,0.021419355502621352,0.9743222072861975,0.02795831762098544,0.9349431081585925,0.957687202931436,4.0
LogisticRegression,all_no_speed,unweighted,0.9563380865989046,0.014139461938992197,0.9519258979839893,0.013067203493996704,0.941908713692946,0.9662230217345487,0.01955491293415119,0.9690674041345754,0.022786997683250876,0.9367572786690433,0.956445565267473,4.0
SVM,all,balanced,0.9528774385398571,0.024242785480521976,0.9549017142378138,0.023961725391778765,0.91701244813278,0.958247296811195,0.03357918936842583,0.9677585838906686,0.04061404897620435,0.9049347060306072,0.9414577021269821,4.0
SVM,all_no_speed,balanced,0.9485580036113528,0.02289660578947918,0.9498512091873088,0.01669790888818745,0.9149377593360996,0.9560060394185312,0.03324128311124754,0.9658821902071739,0.03618919392666953,0.9022597772597774,0.9393853978629074,4.0
SVM,all,unweighted,0.9434393900902496,0.024442531401818714,0.941688670941783,0.020642961069754162,0.9107883817427386,0.9519804384064621,0.033616014003077774,0.9592310955969603,0.03804471873900839,0.8994595624319276,0.9351724314049232,4.0
SVM,all_no_speed,unweighted,0.9403954653658271,0.026604444374526345,0.9376755102896182,0.030812079641362344,0.9066390041493776,0.950216906271651,0.035133172406688847,0.9583657594927106,0.033261188056236346,0.8941361061011822,0.9326503200683066,4.0
