model,feature_set,imbalance,accuracy_mean,accuracy_std,accuracy_median,accuracy_iqr,worst_fold_accuracy,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_iqr,worst_fold_macro_f1,robustness_score,evaluable_folds
LogisticRegression,all,balanced,0.7407397862604944,0.16000001121038004,0.8413793103448276,0.17935050783338125,0.4603448275862069,0.7650257901012363,0.10904374875930818,0.7868036574467003,0.1673283538230127,0.6263322696669503,0.7105039157215822,5.0
LogisticRegression,all,unweighted,0.7309313067262577,0.15820808904256614,0.8,0.2061556807434517,0.45689655172413796,0.7537171470328766,0.10909438484534574,0.7743315713000595,0.1425059030021273,0.6138326546997763,0.6991699546102037,5.0
LogisticRegression,top_mi,balanced,0.6958959859681164,0.14751018494949886,0.7575301204819277,0.17653378017188215,0.43448275862068964,0.7418176973777025,0.09531568753385951,0.7680677729421949,0.19230630446049002,0.6273144735477038,0.6941598536107728,5.0
LogisticRegression,top_mi,unweighted,0.6594107204385388,0.13622486731743044,0.6758620689655173,0.15042250914922484,0.43275862068965515,0.6831735066530515,0.10351997945547006,0.6341349810046933,0.17309531690608237,0.5707123878277436,0.6314135169253166,5.0
RandomForest,all,balanced,0.7341049711379354,0.15986095903008943,0.8275862068965517,0.19441074879723674,0.45,0.7479706691511968,0.10754171351646173,0.7860634682426445,0.17338508071599124,0.6071340654422226,0.6941998123929659,5.0
RandomForest,all,unweighted,0.7379051359019697,0.16219243943033146,0.8482758620689655,0.19631769398412768,0.4517241379310345,0.7585489369138367,0.10967478989280546,0.7988170298644566,0.17986159550957137,0.6093931226006698,0.703711541967434,5.0
RandomForest,top_mi,balanced,0.7267397706632107,0.17177008392450968,0.8132530120481928,0.24550762778074753,0.4362068965517241,0.7578001912933514,0.12024035424921942,0.7934672056578955,0.2307278166137373,0.5944559303455009,0.6976800141687417,5.0
RandomForest,top_mi,unweighted,0.7280247741584203,0.17099730986886613,0.8298192771084337,0.2285404416300013,0.4362068965517241,0.7557654349487631,0.12057117617204646,0.7758678081764125,0.2297630673895944,0.594735927319532,0.6954798468627399,5.0
SVM,all,balanced,0.6759586728696592,0.15472966662178161,0.7349397590361446,0.3019889372719783,0.4603448275862069,0.719881219038583,0.10703552819837177,0.6512485930314784,0.16357119304872458,0.6045414490980461,0.6663634549393972,5.0
SVM,all,unweighted,0.6382394920390044,0.15959565300320647,0.6758620689655173,0.3348307907397508,0.44655172413793104,0.6417913302672449,0.11491580933049686,0.6296539937796086,0.06581153792612693,0.5189007512850929,0.5843334256019964,5.0
SVM,top_mi,balanced,0.6844472889793847,0.13749209155415373,0.7228915662650602,0.13295674164233728,0.45517241379310347,0.7280237324606482,0.09616965746962144,0.6679076844196032,0.1893705985133055,0.6359870978413696,0.6799389037258375,5.0
SVM,top_mi,unweighted,0.6656894921099014,0.13586244830144384,0.6758620689655173,0.18616616637197247,0.4396551724137931,0.660552615488535,0.11413904298722011,0.6176706262739861,0.06915802461444776,0.5687576141816465,0.603483093994925,5.0
XGBoost,all,balanced,0.7367401818643291,0.1710178058170379,0.8554216867469879,0.2443215252442038,0.45689655172413796,0.7627539903282322,0.12553637270159154,0.8448575649768321,0.19871202693856405,0.5716249159645387,0.6999858039774365,5.0
XGBoost,all,unweighted,0.7445881324521341,0.17475660471013493,0.8599397590361446,0.2410497822760974,0.4517241379310345,0.7619494772723581,0.13136717264419454,0.8557917942438225,0.21665962370949943,0.5635442886251948,0.6962658909502608,5.0
XGBoost,top_mi,balanced,0.7228315663501362,0.17875000994596715,0.7996987951807228,0.30232534232493113,0.4482758620689655,0.7647029983453286,0.1283940119523317,0.8227462042499168,0.23490810048201327,0.5785914416438295,0.7005059923691628,5.0
XGBoost,top_mi,unweighted,0.7203824666678955,0.17040614902552637,0.8117469879518072,0.2732123031374646,0.44655172413793104,0.7545429651794968,0.12161009857898578,0.802595690599153,0.21732308724461002,0.5781918503437491,0.6937379158900039,5.0
