model,feature_set,imbalance,test_run,n_test,n_features,accuracy,macro_f1,degenerate_classes
LogisticRegression,all,unweighted,Run1,195,141,0.9794871794871794,0.9650787087024998,None
LogisticRegression,all,balanced,Run1,195,141,0.9846153846153847,0.9745521791151667,None
RandomForest,all,unweighted,Run1,195,141,0.9538461538461539,0.9212618161899351,None
RandomForest,all,balanced,Run1,195,141,0.9641025641025641,0.9363930316012293,None
XGBoost,all,unweighted,Run1,195,141,0.9692307692307692,0.9485317237680105,None
XGBoost,all,balanced,Run1,195,141,0.9692307692307692,0.9485317237680105,None
SVM,all,unweighted,Run1,195,141,0.9743589743589743,0.9584501610634727,None
SVM,all,balanced,Run1,195,141,0.9743589743589743,0.9584501610634727,None
LogisticRegression,all,unweighted,Run2,305,141,0.8655737704918033,0.833144527522696,None
LogisticRegression,all,balanced,Run2,305,141,0.8655737704918033,0.8298723470298374,None
RandomForest,all,unweighted,Run2,305,141,0.8655737704918033,0.8390922837731347,None
RandomForest,all,balanced,Run2,305,141,0.8786885245901639,0.8552657179024011,None
XGBoost,all,unweighted,Run2,305,141,0.8950819672131147,0.8696573525841819,None
XGBoost,all,balanced,Run2,305,141,0.9016393442622951,0.8790854073462769,None
SVM,all,unweighted,Run2,305,141,0.9114754098360656,0.888209285928264,None
SVM,all,balanced,Run2,305,141,0.9114754098360656,0.8915879442195233,None
LogisticRegression,all,unweighted,Run3,337,141,0.8605341246290801,0.845489052010791,None
LogisticRegression,all,balanced,Run3,337,141,0.8664688427299704,0.8536640747167064,None
RandomForest,all,unweighted,Run3,337,141,0.8219584569732937,0.8004019239701171,None
RandomForest,all,balanced,Run3,337,141,0.8219584569732937,0.8010025651679893,None
XGBoost,all,unweighted,Run3,337,141,0.8367952522255193,0.8233136948162633,None
XGBoost,all,balanced,Run3,337,141,0.8456973293768546,0.8332396699247892,None
SVM,all,unweighted,Run3,337,141,0.8605341246290801,0.8461676587301588,None
SVM,all,balanced,Run3,337,141,0.8635014836795252,0.8527320100948094,None
LogisticRegression,all,unweighted,Run4,422,141,0.8649289099526066,0.7582716049382716,None
LogisticRegression,all,balanced,Run4,422,141,0.8601895734597157,0.7532269050641173,None
RandomForest,all,unweighted,Run4,422,141,0.9218009478672986,0.834136074568936,None
RandomForest,all,balanced,Run4,422,141,0.9241706161137441,0.8377130342810583,None
XGBoost,all,unweighted,Run4,422,141,0.9170616113744076,0.8271338603778641,None
XGBoost,all,balanced,Run4,422,141,0.9052132701421801,0.8122119933557789,None
SVM,all,unweighted,Run4,422,141,0.9052132701421801,0.8056409952238518,None
SVM,all,balanced,Run4,422,141,0.9052132701421801,0.8052873217110205,None
LogisticRegression,all,unweighted,Run5,324,141,0.8827160493827161,0.8725549628633328,None
LogisticRegression,all,balanced,Run5,324,141,0.8858024691358025,0.8778912455267521,None
RandomForest,all,unweighted,Run5,324,141,0.8240740740740741,0.8093129166049794,None
RandomForest,all,balanced,Run5,324,141,0.8117283950617284,0.7924788720805859,None
XGBoost,all,unweighted,Run5,324,141,0.8179012345679012,0.8058174171059833,None
XGBoost,all,balanced,Run5,324,141,0.8179012345679012,0.8069201551113268,None
SVM,all,unweighted,Run5,324,141,0.8364197530864198,0.8196223158629174,None
SVM,all,balanced,Run5,324,141,0.8271604938271605,0.8150697255960413,None
LogisticRegression,top_mi,unweighted,Run1,195,25,0.9538461538461539,0.9176049265869204,None
LogisticRegression,top_mi,balanced,Run1,195,25,0.9538461538461539,0.9168944778567524,None
RandomForest,top_mi,unweighted,Run1,195,25,0.958974358974359,0.9275386826315101,None
RandomForest,top_mi,balanced,Run1,195,25,0.9538461538461539,0.9187723349870346,None
XGBoost,top_mi,unweighted,Run1,195,25,0.9538461538461539,0.9187723349870346,None
XGBoost,top_mi,balanced,Run1,195,25,0.9538461538461539,0.9228530737313267,None
SVM,top_mi,unweighted,Run1,195,25,0.9435897435897436,0.9002265231471918,None
SVM,top_mi,balanced,Run1,195,25,0.9435897435897436,0.8995976700894733,None
LogisticRegression,top_mi,unweighted,Run2,305,25,0.8918032786885246,0.8674314654944194,None
LogisticRegression,top_mi,balanced,Run2,305,25,0.9147540983606557,0.8938286415964987,None
RandomForest,top_mi,unweighted,Run2,305,25,0.8655737704918033,0.8394888829039111,None
RandomForest,top_mi,balanced,Run2,305,25,0.8524590163934426,0.8249001029056732,None
XGBoost,top_mi,unweighted,Run2,305,25,0.8754098360655738,0.8460750960750961,None
XGBoost,top_mi,balanced,Run2,305,25,0.8918032786885246,0.8646215688249939,None
SVM,top_mi,unweighted,Run2,305,25,0.8622950819672132,0.8307480729459923,None
SVM,top_mi,balanced,Run2,305,25,0.8918032786885246,0.8679449205764995,None
LogisticRegression,top_mi,unweighted,Run3,337,25,0.8189910979228486,0.8003270424530267,None
LogisticRegression,top_mi,balanced,Run3,337,25,0.8219584569732937,0.8081320712686386,None
RandomForest,top_mi,unweighted,Run3,337,25,0.8219584569732937,0.7973413278970299,None
RandomForest,top_mi,balanced,Run3,337,25,0.8160237388724035,0.7916668495590703,None
XGBoost,top_mi,unweighted,Run3,337,25,0.8189910979228486,0.7975406653472811,None
XGBoost,top_mi,balanced,Run3,337,25,0.8338278931750742,0.816216966844521,None
SVM,top_mi,unweighted,Run3,337,25,0.7863501483679525,0.7598171372026333,None
SVM,top_mi,balanced,Run3,337,25,0.7774480712166172,0.7595166126187269,None
LogisticRegression,top_mi,unweighted,Run4,422,25,0.8767772511848341,0.7834674478044859,None
LogisticRegression,top_mi,balanced,Run4,422,25,0.8578199052132701,0.7615916155614024,None
RandomForest,top_mi,unweighted,Run4,422,25,0.8720379146919431,0.7772630676222653,None
RandomForest,top_mi,balanced,Run4,422,25,0.8767772511848341,0.7825476153246513,None
XGBoost,top_mi,unweighted,Run4,422,25,0.8744075829383886,0.7826455299962666,None
XGBoost,top_mi,balanced,Run4,422,25,0.8720379146919431,0.780226504226162,None
SVM,top_mi,unweighted,Run4,422,25,0.8744075829383886,0.7787782191374167,None
SVM,top_mi,balanced,Run4,422,25,0.8483412322274881,0.7520571117215281,None
LogisticRegression,top_mi,unweighted,Run5,324,25,0.7746913580246914,0.7391657942664175,None
LogisticRegression,top_mi,balanced,Run5,324,25,0.7962962962962963,0.7795216030510148,None
RandomForest,top_mi,unweighted,Run5,324,25,0.7592592592592593,0.7162701840953266,None
RandomForest,top_mi,balanced,Run5,324,25,0.7592592592592593,0.7141101877849941,None
XGBoost,top_mi,unweighted,Run5,324,25,0.7469135802469136,0.7104449198631109,None
XGBoost,top_mi,balanced,Run5,324,25,0.7685185185185185,0.7365907518101539,None
SVM,top_mi,unweighted,Run5,324,25,0.7685185185185185,0.7293291881819121,None
SVM,top_mi,balanced,Run5,324,25,0.7438271604938271,0.7258406306259068,None
