model,feature_set,imbalance,accuracy_mean,accuracy_std,accuracy_median,accuracy_iqr,worst_fold_accuracy,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_iqr,worst_fold_macro_f1,robustness_score,evaluable_folds
SVM,all_no_speed,unweighted,0.9000510590634887,0.04648425170707113,0.9081967213114754,0.05119045944843692,0.8395061728395061,0.8670637109725815,0.05117542304934687,0.8503254975383122,0.06019296411161967,0.8191748933335972,0.8414759994479081,5.0
SVM,all_no_speed,balanced,0.8989506709368265,0.049085669029924464,0.9114754098360656,0.04288607310110115,0.8271604938271605,0.8677978494875103,0.05358629864626103,0.8587554440770723,0.0755523909424356,0.8149858313811581,0.8410047001643798,5.0
SVM,all,balanced,0.8963419263687811,0.04951554932309974,0.9052132701421801,0.04797392615654039,0.8271604938271605,0.8646254325369733,0.05594334581252594,0.8527320100948094,0.07651821862348196,0.8052873217110205,0.8366537596307103,5.0
SVM,all,unweighted,0.897600306410544,0.04745383178199216,0.9052132701421801,0.05094128520698549,0.8364197530864198,0.863618083361733,0.05513499402643785,0.8461676587301588,0.06858697006534653,0.8056409952238518,0.836050586348514,5.0
XGBoost,all_no_speed,balanced,0.8887592475667617,0.051303692854997515,0.8950819672131147,0.0784943817064424,0.8333333333333334,0.8575244156003053,0.04949612483806778,0.8240663615021614,0.04894403311125439,0.8192655357289503,0.8327763531812714,5.0
XGBoost,all_no_speed,unweighted,0.889348542478953,0.05405398386871666,0.9049180327868852,0.08086404995288787,0.8240740740740741,0.8577331891728294,0.052020354417205,0.8258049215109384,0.06389383798345227,0.8113970878221247,0.8317230119642268,5.0
XGBoost,all,balanced,0.8879363895160001,0.052505426150450236,0.9016393442622951,0.059515940765325515,0.8179012345679012,0.8559977899012365,0.05280020688729048,0.8332396699247892,0.06687341399049807,0.8069201551113268,0.8295976864575914,5.0
XGBoost,all,unweighted,0.8872141669223425,0.05481942142476533,0.8950819672131147,0.08026635914888824,0.8179012345679012,0.8548908097304606,0.05130776131733237,0.8271338603778641,0.0463436577679186,0.8058174171059833,0.8292369290717945,5.0
LogisticRegression,all_no_speed,balanced,0.8902112253130816,0.043834052558117,0.8796296296296297,0.02505632817962855,0.8516320474777448,0.8551463186911843,0.06441629077714435,0.8545152922469453,0.03509883735603403,0.7568469040337007,0.8229381733026121,5.0
LogisticRegression,all,balanced,0.8925300080865354,0.046854462215782704,0.8664688427299704,0.020228698643999232,0.8601895734597157,0.8578413502905159,0.07178762120110059,0.8536640747167064,0.048018898496914764,0.7532269050641173,0.8219475396899656,5.0
LogisticRegression,all,unweighted,0.8906480067886771,0.04506073616953242,0.8655737704918033,0.017787139430109455,0.8605341246290801,0.8549077712075184,0.0668579965599769,0.845489052010791,0.03941043534063682,0.7582716049382716,0.8214787729275299,5.0
LogisticRegression,all_no_speed,unweighted,0.8890017711329825,0.04568629244985441,0.8688524590163934,0.013983968170382055,0.857566765578635,0.8539199398931017,0.06667123747796079,0.8413383826259523,0.02853244344468686,0.7591319371527382,0.8205843211541213,5.0
RandomForest,all,unweighted,0.8774506806505247,0.05267394904535394,0.8655737704918033,0.09772687379322453,0.8219584569732937,0.8408410030214204,0.04276648365916359,0.834136074568936,0.029779367168155324,0.8004019239701171,0.8194577611918386,5.0
RandomForest,all,balanced,0.8801297113682989,0.05840505665919236,0.8786885245901639,0.10221215914045034,0.8117283950617284,0.8445706442066528,0.05138967304126794,0.8377130342810583,0.054263152734411846,0.7924788720805859,0.8188758076860189,5.0
RandomForest,all_no_speed,unweighted,0.8761630173812168,0.05306858353450564,0.8590163934426229,0.0946404540401381,0.8189910979228486,0.8392890554119574,0.04308648673772417,0.8311929237389433,0.021822277354244357,0.7975406653472811,0.8177458120430954,5.0
RandomForest,all_no_speed,balanced,0.8768447276342435,0.05627388038198268,0.8721311475409836,0.0974728226475593,0.8117283950617284,0.8390645529108515,0.048487860040791836,0.8282311456101711,0.04636510590174725,0.7911827000748497,0.8148206228904555,5.0
LogisticRegression,top_mi,balanced,0.868934982137934,0.05816530929115652,0.8578199052132701,0.09279564138736196,0.7962962962962963,0.8319936818668614,0.062146365718614344,0.8081320712686386,0.11430703854548385,0.7615916155614024,0.8009204990075542,5.0
XGBoost,top_mi,balanced,0.8640067517840428,0.06154190580018426,0.8720379146919431,0.057975385513450384,0.7685185185185185,0.8241017730874315,0.06486765211968724,0.816216966844521,0.08439506459883184,0.7365907518101539,0.7916679470275879,5.0
LogisticRegression,top_mi,unweighted,0.8632218279334104,0.06165617382461747,0.8767772511848341,0.07281218076567597,0.7746913580246914,0.8215993353210539,0.06327637424945062,0.8003270424530267,0.08396401768993356,0.7391657942664175,0.7899611481963286,5.0
