run_id,label,speed_bin,n_windows
Run1,dirt_track,bin1,34
Run1,dirt_track,bin2,50
Run1,dirt_track,bin3,35
Run1,grass,bin1,15
Run1,grass,bin2,4
Run1,grass,bin3,9
Run1,soil,bin1,20
Run1,soil,bin2,9
Run1,soil,bin3,19
Run2,dirt_track,bin1,39
Run2,dirt_track,bin2,58
Run2,dirt_track,bin3,48
Run2,grass,bin1,40
Run2,grass,bin2,26
Run2,grass,bin3,32
Run2,soil,bin1,20
Run2,soil,bin2,16
Run2,soil,bin3,26
Run3,dirt_track,bin1,38
Run3,dirt_track,bin2,47
Run3,dirt_track,bin3,39
Run3,grass,bin1,31
Run3,grass,bin2,24
Run3,grass,bin3,41
Run3,soil,bin1,41
Run3,soil,bin2,26
Run3,soil,bin3,50
Run4,dirt_track,bin1,59
Run4,dirt_track,bin2,100
Run4,dirt_track,bin3,61
Run4,grass,bin1,13
Run4,grass,bin2,3
Run4,grass,bin3,15
Run4,soil,bin1,73
Run4,soil,bin2,45
Run4,soil,bin3,53
Run5,dirt_track,bin1,28
Run5,dirt_track,bin2,48
Run5,dirt_track,bin3,30
Run5,grass,bin1,35
Run5,grass,bin2,23
Run5,grass,bin3,25
Run5,soil,bin1,42
Run5,soil,bin2,48
Run5,soil,bin3,45
