model,class_pair,f1_Farm,f1_Campus_B,delta,folds_Farm,folds_Campus_B,alignment
LogisticRegression,dirt_track <-> dry_dirt_track,0.9774276663378204,0.9562911511468056,0.021136515191014782,5,2,mapped
LogisticRegression,grass <-> grass,0.7599846121778397,0.9659538974947256,-0.20596928531688585,5,4,mapped
LogisticRegression,soil (Farm only),0.8589235237811839,,,5,0,unmapped
LogisticRegression,smooth_terrain (Campus_B only),,0.9817351598173516,,0,3,unmapped
RandomForest,dirt_track <-> dry_dirt_track,0.9752157754607526,0.9719441445068722,0.003271630953880389,5,2,mapped
RandomForest,grass <-> grass,0.7125993551468506,0.9742297484759797,-0.2616303933291291,5,4,mapped
RandomForest,soil (Farm only),0.8309837355618767,,,5,0,unmapped
RandomForest,smooth_terrain (Campus_B only),,0.9766450299096348,,0,3,unmapped
SVM,dirt_track <-> dry_dirt_track,0.9775500216618828,0.9360623281915424,0.041487693470340314,5,2,mapped
SVM,grass <-> grass,0.7597358528995731,0.9443580915504046,-0.1846222386508315,5,4,mapped
SVM,soil (Farm only),0.8596339070501926,,,5,0,unmapped
SVM,smooth_terrain (Campus_B only),,0.9648326093633453,,0,3,unmapped
XGBoost,dirt_track <-> dry_dirt_track,0.9760750647097648,0.9756401343992585,0.0004349303105063429,5,2,mapped
XGBoost,grass <-> grass,0.7542598336877522,0.983468399620684,-0.22920856593293182,5,4,mapped
XGBoost,soil (Farm only),0.8524945940502222,,,5,0,unmapped
XGBoost,smooth_terrain (Campus_B only),,0.9766450299096348,,0,3,unmapped
