config,filters,kernels,dropout,lr,weight_decay,batch_size,test_run,accuracy,macro_f1,best_epoch
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260223_142511.490,0.6245733788395904,0.602753719742394,73
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260226_102148.990,0.8620689655172413,0.8511904761904762,36
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260309_141435.414_partA,0.9171686746987951,0.9060821639374321,46
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260309_141435.414_partB,0.7740963855421686,0.7029651948283735,45
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260326_120021.508,0.4413793103448276,0.6558569022602653,48
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260223_142511.490,0.6996587030716723,0.6266329610981564,35
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260226_102148.990,0.8758620689655172,0.8642533936651584,40
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260309_141435.414_partA,0.8704819277108434,0.8764304680505798,53
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260309_141435.414_partB,0.7243975903614458,0.6801022595624704,9
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260326_120021.508,0.4482758620689655,0.6523938904891285,91
