test_run,macro_f1,model,date
log_20260223_142511.490,0.6263322696669503,LogisticRegression,2026-02-23
log_20260226_102148.990,0.8282386301964615,LogisticRegression,2026-02-26
log_20260309_141435.414_partA,0.9228441168226208,LogisticRegression,2026-03-09
log_20260309_141435.414_partB,0.7868036574467003,LogisticRegression,2026-03-09
log_20260326_120021.508,0.6609102763734488,LogisticRegression,2026-03-26
log_20260223_142511.490,0.5785914416438295,XGBoost,2026-02-23
log_20260226_102148.990,0.8944193061840121,XGBoost,2026-02-26
log_20260309_141435.414_partA,0.8813330700654488,XGBoost,2026-03-09
log_20260309_141435.414_partB,0.8227462042499168,XGBoost,2026-03-09
log_20260326_120021.508,0.6464249695834355,XGBoost,2026-03-26
log_20260223_142511.490,0.6093931226006698,RandomForest,2026-02-23
log_20260226_102148.990,0.8328999152145578,RandomForest,2026-02-26
log_20260309_141435.414_partA,0.898596297184513,RandomForest,2026-03-09
log_20260309_141435.414_partB,0.7988170298644566,RandomForest,2026-03-09
log_20260326_120021.508,0.6530383197049864,RandomForest,2026-03-26
log_20260223_142511.490,0.6359870978413696,SVM,2026-02-23
log_20260226_102148.990,0.8540668490260942,SVM,2026-02-26
log_20260309_141435.414_partA,0.8357638147647398,SVM,2026-03-09
log_20260309_141435.414_partB,0.6679076844196032,SVM,2026-03-09
log_20260326_120021.508,0.6463932162514343,SVM,2026-03-26
log_20260223_142511.490,0.5993496690279875,MLP,2026-02-23
log_20260226_102148.990,0.831718510963794,MLP,2026-02-26
log_20260309_141435.414_partA,0.9141038763976704,MLP,2026-03-09
log_20260309_141435.414_partB,0.8288032766359948,MLP,2026-03-09
log_20260326_120021.508,0.6549181411210171,MLP,2026-03-26
log_20260223_142511.490,0.5671840980412344,CNN,2026-02-23
log_20260226_102148.990,0.8888751697740461,CNN,2026-02-26
log_20260309_141435.414_partA,0.930704576613914,CNN,2026-03-09
log_20260309_141435.414_partB,0.7406755392083871,CNN,2026-03-09
log_20260326_120021.508,0.655497648993584,CNN,2026-03-26
