test_run,class,train_count,test_count,count_flag,speed_tvd,speed_flag
log_20260223_142511.490,cobblestone,355,0,OK,,NA
log_20260223_142511.490,dry_dirt_track,652,0,OK,,NA
log_20260223_142511.490,grass,462,26,OK,0.058108558108558125,OK
log_20260223_142511.490,muddy_dirt_track,46,99,LOW,0.7272727272727273,WARN
log_20260223_142511.490,smooth_terrain,538,168,OK,0.5594795539033457,WARN
log_20260226_102148.990,cobblestone,355,0,OK,,NA
log_20260226_102148.990,dry_dirt_track,652,0,OK,,NA
log_20260226_102148.990,grass,444,44,OK,0.15090090090090091,OK
log_20260226_102148.990,muddy_dirt_track,99,46,OK,0.7272727272727273,WARN
log_20260226_102148.990,smooth_terrain,651,55,OK,0.6221198156682028,WARN
log_20260309_141435.414_partA,cobblestone,355,0,OK,,NA
log_20260309_141435.414_partA,dry_dirt_track,258,394,OK,0.20831857710620544,OK
log_20260309_141435.414_partA,grass,420,68,OK,0.1392156862745098,OK
log_20260309_141435.414_partA,muddy_dirt_track,145,0,OK,,NA
log_20260309_141435.414_partA,smooth_terrain,504,202,OK,0.4637749489234638,WARN
log_20260309_141435.414_partB,cobblestone,318,37,OK,0.8647798742138365,WARN
log_20260309_141435.414_partB,dry_dirt_track,394,258,OK,0.20831857710620544,OK
log_20260309_141435.414_partB,grass,240,248,OK,0.059811827956989264,OK
log_20260309_141435.414_partB,muddy_dirt_track,145,0,OK,,NA
log_20260309_141435.414_partB,smooth_terrain,585,121,OK,0.5145299145299145,WARN
log_20260326_120021.508,cobblestone,37,318,LOW,0.8647798742138365,WARN
log_20260326_120021.508,dry_dirt_track,652,0,OK,,NA
log_20260326_120021.508,grass,386,102,OK,0.09920755867113684,OK
log_20260326_120021.508,muddy_dirt_track,145,0,OK,,NA
log_20260326_120021.508,smooth_terrain,546,160,OK,0.20029761904761906,OK
