run_id,label,speed_bin,n_windows
log_20260223_142511.490,grass,bin1,11
log_20260223_142511.490,grass,bin2,10
log_20260223_142511.490,grass,bin3,5
log_20260223_142511.490,muddy_dirt_track,bin1,11
log_20260223_142511.490,muddy_dirt_track,bin2,16
log_20260223_142511.490,muddy_dirt_track,bin3,72
log_20260223_142511.490,smooth_terrain,bin3,168
log_20260226_102148.990,grass,bin1,23
log_20260226_102148.990,grass,bin2,21
log_20260226_102148.990,muddy_dirt_track,bin1,21
log_20260226_102148.990,muddy_dirt_track,bin2,25
log_20260226_102148.990,smooth_terrain,bin1,18
log_20260226_102148.990,smooth_terrain,bin2,37
log_20260309_141435.414_partA,dry_dirt_track,bin1,195
log_20260309_141435.414_partA,dry_dirt_track,bin2,136
log_20260309_141435.414_partA,dry_dirt_track,bin3,63
log_20260309_141435.414_partA,grass,bin1,33
log_20260309_141435.414_partA,grass,bin2,20
log_20260309_141435.414_partA,grass,bin3,15
log_20260309_141435.414_partA,smooth_terrain,bin1,62
log_20260309_141435.414_partA,smooth_terrain,bin2,91
log_20260309_141435.414_partA,smooth_terrain,bin3,49
log_20260309_141435.414_partB,cobblestone,bin3,37
log_20260309_141435.414_partB,dry_dirt_track,bin1,87
log_20260309_141435.414_partB,dry_dirt_track,bin2,76
log_20260309_141435.414_partB,dry_dirt_track,bin3,95
log_20260309_141435.414_partB,grass,bin1,104
log_20260309_141435.414_partB,grass,bin2,103
log_20260309_141435.414_partB,grass,bin3,41
log_20260309_141435.414_partB,smooth_terrain,bin3,121
log_20260326_120021.508,cobblestone,bin1,130
log_20260326_120021.508,cobblestone,bin2,145
log_20260326_120021.508,cobblestone,bin3,43
log_20260326_120021.508,grass,bin1,48
log_20260326_120021.508,grass,bin2,48
log_20260326_120021.508,grass,bin3,6
log_20260326_120021.508,smooth_terrain,bin1,39
log_20260326_120021.508,smooth_terrain,bin2,54
log_20260326_120021.508,smooth_terrain,bin3,67
