config,filters,kernels,dropout,lr,weight_decay,batch_size,test_run,accuracy,macro_f1,best_epoch
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260226_102148.990,1.0,1.0,62
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260309_141435.414_partA,0.9593373493975904,0.9425179164208194,60
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260309_141435.414_partB,0.9154704944178629,0.8988001347210707,66
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260326_120021.508,0.9923664122137404,0.9959695476936856,46
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260226_102148.990,1.0,1.0,75
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260309_141435.414_partA,0.947289156626506,0.9222335087670902,53
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260309_141435.414_partB,0.9218500797448166,0.8991139078752015,28
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260326_120021.508,0.9923664122137404,0.995049504950495,37
16-32-64 | k=7-5-3 | d=0.3 | lr=1e-3,"[16, 32, 64]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260226_102148.990,1.0,1.0,140
16-32-64 | k=7-5-3 | d=0.3 | lr=1e-3,"[16, 32, 64]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260309_141435.414_partA,0.9442771084337349,0.9162266073882982,81
16-32-64 | k=7-5-3 | d=0.3 | lr=1e-3,"[16, 32, 64]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260309_141435.414_partB,0.9186602870813397,0.9040144584520425,103
16-32-64 | k=7-5-3 | d=0.3 | lr=1e-3,"[16, 32, 64]","[7, 5, 3]",0.3,0.001,0.0001,64,log_20260326_120021.508,0.9923664122137404,0.995049504950495,56
32-64-128 | k=11-7-5 | d=0.3 | lr=1e-3,"[32, 64, 128]","[11, 7, 5]",0.3,0.001,0.0001,64,log_20260226_102148.990,1.0,1.0,43
32-64-128 | k=11-7-5 | d=0.3 | lr=1e-3,"[32, 64, 128]","[11, 7, 5]",0.3,0.001,0.0001,64,log_20260309_141435.414_partA,0.9533132530120482,0.9352723311546841,45
32-64-128 | k=11-7-5 | d=0.3 | lr=1e-3,"[32, 64, 128]","[11, 7, 5]",0.3,0.001,0.0001,64,log_20260309_141435.414_partB,0.8835725677830941,0.8276508206940895,40
32-64-128 | k=11-7-5 | d=0.3 | lr=1e-3,"[32, 64, 128]","[11, 7, 5]",0.3,0.001,0.0001,64,log_20260326_120021.508,1.0,1.0,25
32-64-128 | k=7-5-3 | d=0.5 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.5,0.001,0.0001,64,log_20260226_102148.990,1.0,1.0,189
32-64-128 | k=7-5-3 | d=0.5 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.5,0.001,0.0001,64,log_20260309_141435.414_partA,0.9728915662650602,0.9638500907600371,24
32-64-128 | k=7-5-3 | d=0.5 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.5,0.001,0.0001,64,log_20260309_141435.414_partB,0.9346092503987241,0.9176482442596624,53
