config,hidden_dims,dropout,lr,weight_decay,test_run,accuracy,macro_f1,best_epoch
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,log_20260226_102148.990,0.8787878787878788,0.9383720930232557,68
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,log_20260309_141435.414_partA,0.9294605809128631,0.9270467684968805,46
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,log_20260309_141435.414_partB,0.9605809128630706,0.9668593381493911,76
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,log_20260326_120021.508,0.9642857142857143,0.9822335025380711,9
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,log_20260226_102148.990,0.8686868686868687,0.9323529411764706,40
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,log_20260309_141435.414_partA,0.9377593360995851,0.9358174702241638,22
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,log_20260309_141435.414_partB,0.975103734439834,0.9782438871963128,26
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,log_20260326_120021.508,0.9846938775510204,0.9925373134328358,33
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,log_20260226_102148.990,0.9797979797979798,0.9883720930232558,75
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,log_20260309_141435.414_partA,0.9315352697095436,0.928893792684219,113
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,log_20260309_141435.414_partB,0.9688796680497925,0.9741245509399742,30
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,log_20260326_120021.508,0.9948979591836735,0.9975369458128078,27
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,log_20260226_102148.990,0.9696969696969697,0.9837849370599531,50
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,log_20260309_141435.414_partA,0.9336099585062241,0.933790537206904,60
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,log_20260309_141435.414_partB,0.970954356846473,0.9762322330707013,22
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,log_20260326_120021.508,0.9795918367346939,0.99,12
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,log_20260226_102148.990,0.9292929292929293,0.9621717846016911,79
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,log_20260309_141435.414_partA,0.9107883817427386,0.9015165164471505,61
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,log_20260309_141435.414_partB,0.9688796680497925,0.9719908896500165,95
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,log_20260326_120021.508,0.9744897959183674,0.9874371859296482,44
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,log_20260226_102148.990,0.8585858585858586,0.9261904761904762,63
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,log_20260309_141435.414_partA,0.9315352697095436,0.9287667399556336,28
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,log_20260309_141435.414_partB,0.9564315352697096,0.9615936324674189,26
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,log_20260326_120021.508,0.9795918367346939,0.99,69
