feature_set,test_run,n_test,n_features,n_train,n_val,accuracy,macro_f1,best_epoch,early_stopped
all,log_20260226_102148.990,99,121,986,174,0.9191919191919192,0.9573225516621743,93,True
all,log_20260309_141435.414_partA,482,121,660,117,0.921161825726141,0.9096239167732135,22,True
all,log_20260309_141435.414_partB,482,121,660,117,0.9543568464730291,0.9658587196467991,15,True
all,log_20260326_120021.508,196,121,903,160,0.9744897959183674,0.9874371859296482,32,True
top_mi,log_20260226_102148.990,99,25,986,174,0.9494949494949495,0.9698795180722892,14,True
top_mi,log_20260309_141435.414_partA,482,25,660,117,0.921161825726141,0.9121608270583624,39,True
top_mi,log_20260309_141435.414_partB,482,25,660,117,0.9854771784232366,0.9897594737918224,30,True
top_mi,log_20260326_120021.508,196,25,903,160,0.9795918367346939,0.99,26,True
all_no_speed,log_20260226_102148.990,99,118,986,174,0.9292929292929293,0.964562569213732,26,True
all_no_speed,log_20260309_141435.414_partA,482,118,660,117,0.9294605809128631,0.9226007815633711,33,True
all_no_speed,log_20260309_141435.414_partB,482,118,660,117,0.9730290456431535,0.9793486755646369,34,True
all_no_speed,log_20260326_120021.508,196,118,903,160,0.9744897959183674,0.9874371859296482,29,True
