model,feature_set,imbalance,test_run,n_test,accuracy,macro_f1,degenerate_classes
LogisticRegression,all,unweighted,log_20260226_102148.990,99,0.9797979797979798,0.9883720930232558,None
LogisticRegression,all,balanced,log_20260226_102148.990,99,0.9797979797979798,0.9883720930232558,None
RandomForest,all,unweighted,log_20260226_102148.990,99,0.9797979797979798,0.9907407407407407,None
RandomForest,all,balanced,log_20260226_102148.990,99,0.9696969696969697,0.985981308411215,None
XGBoost,all,unweighted,log_20260226_102148.990,99,0.9797979797979798,0.9907407407407407,None
XGBoost,all,balanced,log_20260226_102148.990,99,0.9696969696969697,0.985981308411215,None
SVM,all,unweighted,log_20260226_102148.990,99,0.9595959595959596,0.9802341819744333,None
SVM,all,balanced,log_20260226_102148.990,99,0.9595959595959596,0.9802341819744333,None
LogisticRegression,all,unweighted,log_20260309_141435.414_partA,482,0.946058091286307,0.9403665102481745,None
LogisticRegression,all,balanced,log_20260309_141435.414_partA,482,0.950207468879668,0.946462191703055,None
RandomForest,all,unweighted,log_20260309_141435.414_partA,482,0.9481327800829875,0.9421617705342004,None
RandomForest,all,balanced,log_20260309_141435.414_partA,482,0.9481327800829875,0.9409886127879742,None
XGBoost,all,unweighted,log_20260309_141435.414_partA,482,0.9626556016597511,0.9638689643063184,None
XGBoost,all,balanced,log_20260309_141435.414_partA,482,0.9543568464730291,0.9538868021488728,None
SVM,all,unweighted,log_20260309_141435.414_partA,482,0.9128630705394191,0.901207742115643,None
SVM,all,balanced,log_20260309_141435.414_partA,482,0.9128630705394191,0.901207742115643,None
LogisticRegression,all,unweighted,log_20260309_141435.414_partB,482,0.9564315352697096,0.9648453132214868,None
LogisticRegression,all,balanced,log_20260309_141435.414_partB,482,0.9543568464730291,0.9627363052844456,None
RandomForest,all,unweighted,log_20260309_141435.414_partB,482,0.9896265560165975,0.993950603851594,None
RandomForest,all,balanced,log_20260309_141435.414_partB,482,0.9896265560165975,0.993950603851594,None
XGBoost,all,unweighted,log_20260309_141435.414_partB,482,0.983402489626556,0.9887667887667888,None
XGBoost,all,balanced,log_20260309_141435.414_partB,482,0.9875518672199171,0.9918546365914787,None
SVM,all,unweighted,log_20260309_141435.414_partB,482,0.946058091286307,0.9499816301894715,None
SVM,all,balanced,log_20260309_141435.414_partB,482,0.946058091286307,0.9499816301894715,None
LogisticRegression,all,unweighted,log_20260326_120021.508,196,0.9795918367346939,0.99,None
LogisticRegression,all,balanced,log_20260326_120021.508,196,0.9795918367346939,0.99,None
RandomForest,all,unweighted,log_20260326_120021.508,196,0.9744897959183674,0.9874371859296482,None
RandomForest,all,balanced,log_20260326_120021.508,196,0.9693877551020408,0.9848484848484849,None
XGBoost,all,unweighted,log_20260326_120021.508,196,0.9642857142857143,0.9822335025380711,None
XGBoost,all,balanced,log_20260326_120021.508,196,0.9642857142857143,0.9822335025380711,None
SVM,all,unweighted,log_20260326_120021.508,196,0.9795918367346939,0.99,None
SVM,all,balanced,log_20260326_120021.508,196,0.9795918367346939,0.99,None
LogisticRegression,top_mi,unweighted,log_20260226_102148.990,99,0.9797979797979798,0.9883720930232558,None
LogisticRegression,top_mi,balanced,log_20260226_102148.990,99,0.9797979797979798,0.9883720930232558,None
RandomForest,top_mi,unweighted,log_20260226_102148.990,99,0.98989898989899,0.9954128440366973,None
RandomForest,top_mi,balanced,log_20260226_102148.990,99,0.9696969696969697,0.985981308411215,None
XGBoost,top_mi,unweighted,log_20260226_102148.990,99,0.9797979797979798,0.9907407407407407,None
XGBoost,top_mi,balanced,log_20260226_102148.990,99,0.9595959595959596,0.9811320754716981,None
SVM,top_mi,unweighted,log_20260226_102148.990,99,0.98989898989899,0.9942528735632183,None
SVM,top_mi,balanced,log_20260226_102148.990,99,0.98989898989899,0.9942528735632183,None
LogisticRegression,top_mi,unweighted,log_20260309_141435.414_partA,482,0.9605809128630706,0.9579218691401788,None
LogisticRegression,top_mi,balanced,log_20260309_141435.414_partA,482,0.966804979253112,0.9660643775034918,None
RandomForest,top_mi,unweighted,log_20260309_141435.414_partA,482,0.9585062240663901,0.9522782843802843,None
RandomForest,top_mi,balanced,log_20260309_141435.414_partA,482,0.9564315352697096,0.951758644077886,None
XGBoost,top_mi,unweighted,log_20260309_141435.414_partA,482,0.9605809128630706,0.9606575529227671,None
XGBoost,top_mi,balanced,log_20260309_141435.414_partA,482,0.9564315352697096,0.9570596909073282,None
SVM,top_mi,unweighted,log_20260309_141435.414_partA,482,0.9564315352697096,0.9505503413772424,None
SVM,top_mi,balanced,log_20260309_141435.414_partA,482,0.9626556016597511,0.9571074673098113,None
LogisticRegression,top_mi,unweighted,log_20260309_141435.414_partB,482,0.9875518672199171,0.992948717948718,None
LogisticRegression,top_mi,balanced,log_20260309_141435.414_partB,482,0.9854771784232366,0.9908487670468418,None
RandomForest,top_mi,unweighted,log_20260309_141435.414_partB,482,0.9896265560165975,0.993950603851594,None
RandomForest,top_mi,balanced,log_20260309_141435.414_partB,482,0.9896265560165975,0.993950603851594,None
XGBoost,top_mi,unweighted,log_20260309_141435.414_partB,482,0.9896265560165975,0.9928663903587658,None
XGBoost,top_mi,balanced,log_20260309_141435.414_partB,482,0.991701244813278,0.9949485297311385,None
SVM,top_mi,unweighted,log_20260309_141435.414_partB,482,0.991701244813278,0.9949485297311385,None
SVM,top_mi,balanced,log_20260309_141435.414_partB,482,0.9937759336099585,0.9959425190194421,None
LogisticRegression,top_mi,unweighted,log_20260326_120021.508,196,0.9795918367346939,0.99,None
LogisticRegression,top_mi,balanced,log_20260326_120021.508,196,0.9846938775510204,0.9925373134328358,None
RandomForest,top_mi,unweighted,log_20260326_120021.508,196,0.9795918367346939,0.99,None
RandomForest,top_mi,balanced,log_20260326_120021.508,196,0.9744897959183674,0.9874371859296482,None
XGBoost,top_mi,unweighted,log_20260326_120021.508,196,0.9642857142857143,0.9822335025380711,None
XGBoost,top_mi,balanced,log_20260326_120021.508,196,0.9693877551020408,0.9848484848484849,None
SVM,top_mi,unweighted,log_20260326_120021.508,196,0.9897959183673469,0.995049504950495,None
SVM,top_mi,balanced,log_20260326_120021.508,196,0.9897959183673469,0.995049504950495,None
