model,feature_set,imbalance,accuracy_mean,accuracy_std,accuracy_median,accuracy_iqr,worst_fold_accuracy,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_iqr,worst_fold_macro_f1,robustness_score,evaluable_folds
LogisticRegression,all,balanced,0.9659885329713427,0.013784854094225264,0.9669743416038614,0.026323870425826512,0.950207468879668,0.9718926475026892,0.01823454841860587,0.9755541991538508,0.03011129287834391,0.946462191703055,0.9627753732933862,4.0
LogisticRegression,all,unweighted,0.9654698607721726,0.0146904162837935,0.9680116860022017,0.02580519822665639,0.946058091286307,0.9708959791232292,0.020242512185708553,0.9766087031223714,0.030053457289283214,0.9403665102481745,0.9607747230303749,4.0
LogisticRegression,top_mi,balanced,0.9791935037563372,0.007476289351218977,0.9822459286745001,0.008339973107311605,0.966804979253112,0.9844556377516063,0.0107210384223134,0.9896104300350488,0.008475739500025448,0.9660643775034918,0.9790951185404496,4.0
LogisticRegression,top_mi,unweighted,0.9768806491539153,0.009942555686897215,0.9796949082663369,0.006897345886676121,0.9605809128630706,0.9823106700280382,0.014176109449131228,0.9891860465116279,0.009977642434693013,0.9579218691401788,0.9752226153034725,4.0
RandomForest,all,balanced,0.9692110152246489,0.014674413883085052,0.9695423623995052,0.010605354929599242,0.9481327800829875,0.976442252474817,0.02076753034098539,0.9854148966298499,0.014090115437952577,0.9409886127879742,0.9660584873043243,4.0
RandomForest,all,unweighted,0.9730117779539831,0.015356207683746693,0.9771438878581735,0.014354581893111895,0.9481327800829875,0.9785725752640457,0.02114755327239611,0.9890889633351945,0.015424874437667713,0.9421617705342004,0.9679987986278477,4.0
RandomForest,top_mi,balanced,0.9725612142254111,0.011867136951779138,0.9720933828076685,0.0118933748527702,0.9564315352697096,0.9797819355675859,0.016455174783477106,0.9867092471704316,0.011639898082251965,0.951758644077886,0.9715543481758473,4.0
RandomForest,top_mi,unweighted,0.9794059016791679,0.012761247701901129,0.9846091963756457,0.015374230919577792,0.9585062240663901,0.9829104330671439,0.017795969652359175,0.991975301925797,0.013746592802798774,0.9522782843802843,0.9740124482409643,4.0
SVM,all,balanced,0.949527239539095,0.02429791866680013,0.9528270254411333,0.02683559278105807,0.9128630705394191,0.955355888569887,0.03456894689267559,0.9651079060819524,0.04488747830981066,0.901207742115643,0.9380714151235492,4.0
SVM,all,unweighted,0.949527239539095,0.02429791866680013,0.9528270254411333,0.02683559278105807,0.9128630705394191,0.955355888569887,0.03456894689267559,0.9651079060819524,0.04488747830981066,0.901207742115643,0.9380714151235492,4.0
SVM,top_mi,balanced,0.9840316108840116,0.012445269914820263,0.9898474541331684,0.007857386636284103,0.9626556016597511,0.9855880912107416,0.016454155373357954,0.9946511892568567,0.010306236467865215,0.9571074673098113,0.9773610135240627,4.0
SVM,top_mi,unweighted,0.9819569220873311,0.014756553640499036,0.9898474541331684,0.008894731034624348,0.9564315352697096,0.9837003124055236,0.019141601883005184,0.9946007016471784,0.011646533019253225,0.9505503413772424,0.9741295114640209,4.0
XGBoost,all,balanced,0.9689728494189076,0.012055092601241922,0.9669913419913421,0.012357196745163557,0.9543568464730291,0.9784890624224094,0.014612189818540884,0.984107405474643,0.012302813015509395,0.9538868021488728,0.9711829675131389,4.0
XGBoost,all,unweighted,0.9725354463425003,0.009172055820445994,0.972041847041847,0.01682092112590039,0.9626556016597511,0.9814024990879797,0.010601308036187855,0.9855001456524299,0.011617908780143793,0.9638689643063184,0.9761018450698858,4.0
XGBoost,top_mi,balanced,0.9692791236952469,0.0137984375160734,0.9644918573490002,0.016161274015453087,0.9564315352697096,0.9794971952396624,0.01390588429480111,0.9829902801600915,0.012259516738542642,0.9570596909073282,0.9725442530922618,4.0
XGBoost,top_mi,unweighted,0.9735727907408406,0.011742178654326424,0.972041847041847,0.01889560992258088,0.9605809128630706,0.9816245466400862,0.012742347683058763,0.9864871216394059,0.01443263801100192,0.9606575529227671,0.9752533727985568,4.0
