config,filters,kernels,dropout,lr,weight_decay,batch_size,test_run,accuracy,macro_f1,best_epoch
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,Run1,0.9743589743589743,0.9543625773133971,35
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,Run2,0.9180327868852459,0.8963317818709976,50
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,Run3,0.8635014836795252,0.8526838326035113,42
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,Run4,0.8791469194312796,0.7804709364841677,22
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,Run5,0.8395061728395061,0.8277528583341969,29
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,Run1,0.9641025641025641,0.9367457344985435,32
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,Run2,0.9311475409836065,0.9137432435450729,78
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,Run3,0.8724035608308606,0.8625412433683907,14
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,Run4,0.8767772511848341,0.7854524866133819,12
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,Run5,0.8240740740740741,0.8138605788830006,49
16-32-64 | k=7-5-3 | d=0.3 | lr=1e-3,"[16, 32, 64]","[7, 5, 3]",0.3,0.001,0.0001,64,Run1,0.9538461538461539,0.9213448529904226,42
16-32-64 | k=7-5-3 | d=0.3 | lr=1e-3,"[16, 32, 64]","[7, 5, 3]",0.3,0.001,0.0001,64,Run2,0.9180327868852459,0.8920292839970921,68
16-32-64 | k=7-5-3 | d=0.3 | lr=1e-3,"[16, 32, 64]","[7, 5, 3]",0.3,0.001,0.0001,64,Run3,0.8545994065281899,0.8458135929020587,10
