test_run,macro_f1,model,date
Run1,0.9584501610634728,SVM,2026-04-21
Run2,0.8949470200074435,SVM,2026-04-21
Run3,0.8320605036295367,SVM,2026-04-28
Run4,0.8125123195053524,SVM,2026-04-28
Run5,0.8302296318136083,SVM,2026-04-28
Run1,0.9722981592855842,LogisticRegression,2026-04-21
Run2,0.863992338410943,LogisticRegression,2026-04-21
Run3,0.8456521335344312,LogisticRegression,2026-04-28
Run4,0.7859161237083699,LogisticRegression,2026-04-28
Run5,0.8593675822220778,LogisticRegression,2026-04-28
Run1,0.9397297099995456,XGBoost,2026-04-21
Run2,0.8763914290230078,XGBoost,2026-04-21
Run3,0.835726907630522,XGBoost,2026-04-28
Run4,0.829460562147581,XGBoost,2026-04-28
Run5,0.8234072119455752,XGBoost,2026-04-28
Run1,0.9176049265869204,RandomForest,2026-04-21
Run2,0.8267484792944989,RandomForest,2026-04-21
Run3,0.7937262829747538,RandomForest,2026-04-28
Run4,0.8445940909119037,RandomForest,2026-04-28
Run5,0.8153243305143895,RandomForest,2026-04-28
Run1,0.9406324951165838,MLP,2026-04-21
Run2,0.8608994586828805,MLP,2026-04-21
Run3,0.840539902730166,MLP,2026-04-28
Run4,0.7463134412849782,MLP,2026-04-28
Run5,0.8115164180994903,MLP,2026-04-28
Run1,0.9455197132616489,CNN,2026-04-21
Run2,0.8672600120243364,CNN,2026-04-21
Run3,0.8520877360705031,CNN,2026-04-28
Run4,0.7212665464817841,CNN,2026-04-28
Run5,0.8603122751754846,CNN,2026-04-28
