model,test_run,n_test,macro_f1,accuracy
Dummy (stratified),Run1,195,0.32368322016868645,
Dummy (most_frequent),Run1,195,0.2526539278131635,0.6102564102564103
Dummy (stratified),Run2,305,0.3139926711161972,
Dummy (most_frequent),Run2,305,0.21481481481481482,0.47540983606557374
Dummy (stratified),Run3,337,0.3300731952201591,
Dummy (most_frequent),Run3,337,0.17932031814895155,0.36795252225519287
Dummy (stratified),Run4,422,0.3050379251406219,
Dummy (most_frequent),Run4,422,0.2284527518172378,0.5213270142180095
Dummy (stratified),Run5,324,0.3269742651347192,
Dummy (most_frequent),Run5,324,0.16434108527131783,0.3271604938271605
