config,hidden_dims,dropout,lr,weight_decay,test_run,accuracy,macro_f1,best_epoch
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,Run1,0.9538461538461539,0.9233626034683536,19
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,Run2,0.8950819672131147,0.8679995599638457,11
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,Run3,0.857566765578635,0.8431932552113549,17
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,Run4,0.8696682464454977,0.7735655072505899,6
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,Run5,0.8179012345679012,0.7989983030462792,20
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,Run1,0.9384615384615385,0.8986902927580894,10
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,Run2,0.898360655737705,0.8769055427627753,3
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,Run3,0.857566765578635,0.8469685466049102,38
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,Run4,0.8578199052132701,0.7610540789524533,8
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,Run5,0.7376543209876543,0.7278354467349771,8
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,Run1,0.9641025641025641,0.9418230858908826,11
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,Run2,0.9016393442622951,0.8762149275628094,21
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,Run3,0.8545994065281899,0.8376817372277393,18
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,Run4,0.8838862559241706,0.7709120458627042,14
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,Run5,0.8425925925925926,0.8344024428163341,11
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,Run1,0.9692307692307692,0.9480204474079524,18
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,Run2,0.898360655737705,0.8751688545205214,34
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,Run3,0.8456973293768546,0.830638963862648,13
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,Run4,0.8625592417061612,0.7629495498896622,15
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,Run5,0.8240740740740741,0.8156979347144068,21
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,Run1,0.9641025641025641,0.9393342709798406,12
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,Run2,0.9016393442622951,0.8783026806106503,14
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,Run3,0.8605341246290801,0.8449749434447832,20
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,Run4,0.8696682464454977,0.7760615973358808,39
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,Run5,0.808641975308642,0.7940996422908139,16
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,Run1,0.9641025641025641,0.9393342709798406,14
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,Run2,0.9114754098360656,0.8902361424344041,10
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,Run3,0.8694362017804155,0.8505665874086926,22
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,Run4,0.8578199052132701,0.7645010899017698,8
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,Run5,0.8148148148148148,0.8034554150433978,19
