feature_set,test_run,n_test,n_features,n_train,n_val,accuracy,macro_f1,best_epoch,early_stopped
all,Run1,195,141,1179,209,0.9641025641025641,0.9406324951165838,28,True
all,Run2,305,141,1086,192,0.8885245901639345,0.8608994586828805,9,True
all,Run3,337,141,1059,187,0.857566765578635,0.840539902730166,6,True
all,Run4,422,141,986,175,0.8554502369668247,0.7463134412849782,15,True
all,Run5,324,141,1070,189,0.8179012345679012,0.8115164180994903,8,True
top_mi,Run1,195,25,1179,209,0.9538461538461539,0.9178526391641145,23,True
top_mi,Run2,305,25,1086,192,0.9049180327868852,0.8841821328921432,33,True
top_mi,Run3,337,25,1059,187,0.8011869436201781,0.7743212288899554,31,True
top_mi,Run4,422,25,986,175,0.8009478672985783,0.6971013080120881,31,True
top_mi,Run5,324,25,1070,189,0.7314814814814815,0.7048318882753625,19,True
all_no_speed,Run1,195,138,1179,209,0.958974358974359,0.9299417519099021,26,True
all_no_speed,Run2,305,138,1086,192,0.8885245901639345,0.866163304012176,11,True
all_no_speed,Run3,337,138,1059,187,0.8367952522255193,0.8157446829134608,14,True
all_no_speed,Run4,422,138,986,175,0.8672985781990521,0.7715015237624577,22,True
all_no_speed,Run5,324,138,1070,189,0.8055555555555556,0.7941831741595241,18,True
