model,feature_set,imbalance,test_run,n_test,accuracy,macro_f1,degenerate_classes
LogisticRegression,all,unweighted,Run1,195,0.9846153846153847,0.9722981592855842,None
LogisticRegression,all,balanced,Run1,195,0.9743589743589743,0.9567783722443268,None
RandomForest,all,unweighted,Run1,195,0.9538461538461539,0.9176049265869204,None
RandomForest,all,balanced,Run1,195,0.9487179487179487,0.9113588208577634,None
XGBoost,all,unweighted,Run1,195,0.9641025641025641,0.9397297099995456,None
XGBoost,all,balanced,Run1,195,0.9641025641025641,0.9397297099995456,None
SVM,all,unweighted,Run1,195,0.9743589743589743,0.9584501610634727,None
SVM,all,balanced,Run1,195,0.9743589743589743,0.9584501610634727,None
LogisticRegression,all,unweighted,Run2,305,0.8918032786885246,0.863992338410943,None
LogisticRegression,all,balanced,Run2,305,0.898360655737705,0.8757747313324377,None
RandomForest,all,unweighted,Run2,305,0.8557377049180328,0.8267484792944989,None
RandomForest,all,balanced,Run2,305,0.8622950819672132,0.8365755865755865,None
XGBoost,all,unweighted,Run2,305,0.9016393442622951,0.8780230609498902,None
XGBoost,all,balanced,Run2,305,0.898360655737705,0.8763914290230078,None
SVM,all,unweighted,Run2,305,0.9180327868852459,0.8949470200074435,None
SVM,all,balanced,Run2,305,0.9147540983606557,0.8908517228029423,None
LogisticRegression,all,unweighted,Run3,337,0.8605341246290801,0.8456521335344312,None
LogisticRegression,all,balanced,Run3,337,0.8664688427299704,0.8544389094220367,None
RandomForest,all,unweighted,Run3,337,0.8160237388724035,0.7937262829747538,None
RandomForest,all,balanced,Run3,337,0.8219584569732937,0.8030448674635166,None
XGBoost,all,unweighted,Run3,337,0.8516320474777448,0.8375988883742473,None
XGBoost,all,balanced,Run3,337,0.8486646884272997,0.835726907630522,None
SVM,all,unweighted,Run3,337,0.8486646884272997,0.8320605036295367,None
SVM,all,balanced,Run3,337,0.8486646884272997,0.8320605036295367,None
LogisticRegression,all,unweighted,Run4,422,0.8862559241706162,0.7859161237083699,None
LogisticRegression,all,balanced,Run4,422,0.8744075829383886,0.7709598903189567,None
RandomForest,all,unweighted,Run4,422,0.9265402843601895,0.8445940909119037,None
RandomForest,all,balanced,Run4,422,0.9146919431279621,0.8244601641724046,None
XGBoost,all,unweighted,Run4,422,0.9123222748815166,0.829460562147581,None
XGBoost,all,balanced,Run4,422,0.9123222748815166,0.829460562147581,None
SVM,all,unweighted,Run4,422,0.9028436018957346,0.8125123195053524,None
SVM,all,balanced,Run4,422,0.9028436018957346,0.8125123195053524,None
LogisticRegression,all,unweighted,Run5,324,0.8703703703703703,0.8593675822220778,None
LogisticRegression,all,balanced,Run5,324,0.8765432098765432,0.8686290578743409,None
RandomForest,all,unweighted,Run5,324,0.8302469135802469,0.8153243305143895,None
RandomForest,all,balanced,Run5,324,0.808641975308642,0.7926660922335419,None
XGBoost,all,unweighted,Run5,324,0.8209876543209876,0.8111028715033165,None
XGBoost,all,balanced,Run5,324,0.8333333333333334,0.8234072119455752,None
SVM,all,unweighted,Run5,324,0.845679012345679,0.8302296318136083,None
SVM,all,balanced,Run5,324,0.8333333333333334,0.8163005736041073,None
LogisticRegression,top_mi,unweighted,Run1,195,0.9641025641025641,0.9353623716663629,None
LogisticRegression,top_mi,balanced,Run1,195,0.9692307692307692,0.9455197132616489,None
RandomForest,top_mi,unweighted,Run1,195,0.9538461538461539,0.9176049265869204,None
RandomForest,top_mi,balanced,Run1,195,0.9641025641025641,0.9373181468268773,None
XGBoost,top_mi,unweighted,Run1,195,0.958974358974359,0.9310153046725937,None
XGBoost,top_mi,balanced,Run1,195,0.9538461538461539,0.9223775260419428,None
SVM,top_mi,unweighted,Run1,195,0.9487179487179487,0.9126578167498884,None
SVM,top_mi,balanced,Run1,195,0.9487179487179487,0.9100827113379415,None
LogisticRegression,top_mi,unweighted,Run2,305,0.8131147540983606,0.7705412512573564,None
LogisticRegression,top_mi,balanced,Run2,305,0.8426229508196721,0.8023204086334136,None
RandomForest,top_mi,unweighted,Run2,305,0.8,0.7587782273854587,None
RandomForest,top_mi,balanced,Run2,305,0.8295081967213115,0.7929711308048284,None
XGBoost,top_mi,unweighted,Run2,305,0.8229508196721311,0.7833617868829137,None
XGBoost,top_mi,balanced,Run2,305,0.8426229508196721,0.8036195688369601,None
SVM,top_mi,unweighted,Run2,305,0.8098360655737705,0.7653720041915966,None
SVM,top_mi,balanced,Run2,305,0.8590163934426229,0.8197427572427572,None
LogisticRegression,top_mi,unweighted,Run3,337,0.7863501483679525,0.7564020238413415,None
LogisticRegression,top_mi,balanced,Run3,337,0.798219584569733,0.7805975826787318,None
RandomForest,top_mi,unweighted,Run3,337,0.7804154302670623,0.7389688817147521,None
RandomForest,top_mi,balanced,Run3,337,0.7744807121661721,0.740195327850957,None
XGBoost,top_mi,unweighted,Run3,337,0.7863501483679525,0.7566649878082904,None
XGBoost,top_mi,balanced,Run3,337,0.7774480712166172,0.7531317206811744,None
SVM,top_mi,unweighted,Run3,337,0.7655786350148368,0.7286655089045527,None
SVM,top_mi,balanced,Run3,337,0.7863501483679525,0.7641129714628572,None
LogisticRegression,top_mi,unweighted,Run4,422,0.8933649289099526,0.8061288773988423,None
LogisticRegression,top_mi,balanced,Run4,422,0.8767772511848341,0.7873112175159956,None
RandomForest,top_mi,unweighted,Run4,422,0.8483412322274881,0.7510094733004357,None
RandomForest,top_mi,balanced,Run4,422,0.8388625592417062,0.7411836179766761,None
XGBoost,top_mi,unweighted,Run4,422,0.8791469194312796,0.7766528303351912,None
XGBoost,top_mi,balanced,Run4,422,0.8744075829383886,0.7827773782024422,None
SVM,top_mi,unweighted,Run4,422,0.8507109004739336,0.7399542697482397,None
SVM,top_mi,balanced,Run4,422,0.8507109004739336,0.7464067524859512,None
LogisticRegression,top_mi,unweighted,Run5,324,0.7407407407407407,0.6911800193050194,None
LogisticRegression,top_mi,balanced,Run5,324,0.7530864197530864,0.7346652717799205,None
RandomForest,top_mi,unweighted,Run5,324,0.7345679012345679,0.6951992058375037,None
RandomForest,top_mi,balanced,Run5,324,0.7098765432098766,0.6789252916545004,None
XGBoost,top_mi,unweighted,Run5,324,0.7592592592592593,0.730295389623861,None
XGBoost,top_mi,balanced,Run5,324,0.7469135802469136,0.7234278073694131,None
SVM,top_mi,unweighted,Run5,324,0.7376543209876543,0.7036039157599635,None
SVM,top_mi,balanced,Run5,324,0.7376543209876543,0.7240204240204241,None
