model,feature_set,imbalance,accuracy_mean,accuracy_std,accuracy_median,accuracy_iqr,worst_fold_accuracy,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_iqr,worst_fold_macro_f1,robustness_score,evaluable_folds
LogisticRegression,all,balanced,0.8980278531283163,0.039603103471142966,0.8765432098765432,0.023953072799316355,0.8664688427299704,0.8653161922384198,0.05917282059107907,0.8686290578743409,0.021335821910400954,0.7709598903189567,0.8357297819428803,5.0
LogisticRegression,all,unweighted,0.8987158164947953,0.04436907438448121,0.8862559241706162,0.021432908318154253,0.8605341246290801,0.8654452674322812,0.06028804625898202,0.8593675822220778,0.01834020487651178,0.7859161237083699,0.8353012443027902,5.0
LogisticRegression,top_mi,balanced,0.847987395111619,0.07353994687679336,0.8426229508196721,0.07855766661510111,0.7530864197530864,0.810082838773942,0.0713850667376569,0.7873112175159956,0.02172282595468178,0.7346652717799205,0.7743903054051136,5.0
LogisticRegression,top_mi,unweighted,0.8395346272439141,0.079626255433009,0.8131147540983606,0.10701478054200009,0.7407407407407407,0.7919229086937845,0.0808018903028104,0.7705412512573564,0.04972685355750084,0.6911800193050194,0.7515219635423792,5.0
RandomForest,all,balanced,0.8712610812190121,0.0535127955054004,0.8622950819672132,0.09273348615466837,0.808641975308642,0.8336211062605626,0.041828276650126874,0.8244601641724046,0.03353071911206995,0.7926660922335419,0.8127069679354992,5.0
RandomForest,all,unweighted,0.8764789591154054,0.054248049587878225,0.8557377049180328,0.0962933707799426,0.8160237388724035,0.8395996220564932,0.042352277724542475,0.8267484792944989,0.029269760397514277,0.7937262829747538,0.818423483194222,5.0
RandomForest,top_mi,balanced,0.8233661150883261,0.0840883803784297,0.8295081967213115,0.06438184707553407,0.7098765432098766,0.7781187030227679,0.08741484229719505,0.7411836179766761,0.05277580295387141,0.6789252916545004,0.7344112818741704,5.0
RandomForest,top_mi,unweighted,0.8234341435150545,0.07473236687751714,0.8,0.06792580196042586,0.7345679012345679,0.7723121429650142,0.07590143835473655,0.7510094733004357,0.01980934567070669,0.6951992058375037,0.7343614237876459,5.0
SVM,all,balanced,0.8947909392751996,0.050396653953280066,0.9028436018957346,0.06608940993335599,0.8333333333333334,0.8620350561210823,0.055801238104150414,0.8320605036295367,0.07455114919883499,0.8125123195053524,0.8341344370690071,5.0
SVM,all,unweighted,0.8979158127825867,0.04780562576628339,0.9028436018957346,0.06936809845794623,0.845679012345679,0.8656399272038827,0.05417869434500813,0.8320605036295367,0.06471738819383521,0.8125123195053524,0.8385505800313786,5.0
SVM,top_mi,balanced,0.8364899423980223,0.07153639780245924,0.8507109004739336,0.07266624507467045,0.7376543209876543,0.7928731233099862,0.06661385577287901,0.7641129714628572,0.07333600475680602,0.7240204240204241,0.7595661954235466,5.0
SVM,top_mi,unweighted,0.8224995741536286,0.07392703396891044,0.8098360655737705,0.0851322654590968,0.7376543209876543,0.7700507030708482,0.07401673355928585,0.7399542697482397,0.03670649528704384,0.7036039157599635,0.7330423362912053,5.0
XGBoost,all,balanced,0.8913567032964839,0.046839919730022814,0.898360655737705,0.06365758645421693,0.8333333333333334,0.8609431641492463,0.0435475147949475,0.835726907630522,0.0469308668754268,0.8234072119455752,0.8391694067517725,5.0
XGBoost,all,unweighted,0.8901367770090216,0.04971852450432409,0.9016393442622951,0.060690227403771835,0.8209876543209876,0.8591830185949162,0.04583386593157119,0.8375988883742473,0.04856249880230923,0.8111028715033165,0.8362660856291306,5.0
XGBoost,top_mi,balanced,0.839047667813549,0.07310950558474472,0.8426229508196721,0.09695951172177142,0.7469135802469136,0.7970668002263865,0.0682684361125947,0.7827773782024422,0.050487848155785664,0.7234278073694131,0.7629325821700892,5.0
XGBoost,top_mi,unweighted,0.8413363011409963,0.07122710051094037,0.8229508196721311,0.09279677106332718,0.7592592592592593,0.79559805986457,0.07018076820626137,0.7766528303351912,0.0266967990746233,0.730295389623861,0.7605076757614393,5.0
