model,feature_set,imbalance,test_run,n_test,n_features,accuracy,macro_f1,degenerate_classes
LogisticRegression,all,unweighted,log_20260226_102148.990,99,123,0.98989898989899,0.9954128440366973,None
LogisticRegression,all,balanced,log_20260226_102148.990,99,123,1.0,1.0,None
RandomForest,all,unweighted,log_20260226_102148.990,99,123,0.98989898989899,0.9954128440366973,None
RandomForest,all,balanced,log_20260226_102148.990,99,123,0.9797979797979798,0.9896657175999157,None
XGBoost,all,unweighted,log_20260226_102148.990,99,123,1.0,1.0,None
XGBoost,all,balanced,log_20260226_102148.990,99,123,1.0,1.0,None
SVM,all,unweighted,log_20260226_102148.990,99,123,1.0,1.0,None
SVM,all,balanced,log_20260226_102148.990,99,123,1.0,1.0,None
LogisticRegression,all,unweighted,log_20260309_141435.414_partA,664,123,0.9548192771084337,0.9445502242531946,None
LogisticRegression,all,balanced,log_20260309_141435.414_partA,664,123,0.9593373493975904,0.9509703611130863,None
RandomForest,all,unweighted,log_20260309_141435.414_partA,664,123,0.9503012048192772,0.9345738115703756,None
RandomForest,all,balanced,log_20260309_141435.414_partA,664,123,0.9427710843373494,0.9260119357520296,None
XGBoost,all,unweighted,log_20260309_141435.414_partA,664,123,0.9292168674698795,0.9042461908461804,None
XGBoost,all,balanced,log_20260309_141435.414_partA,664,123,0.9337349397590361,0.9088644305373291,None
SVM,all,unweighted,log_20260309_141435.414_partA,664,123,0.9246987951807228,0.8928981589245382,None
SVM,all,balanced,log_20260309_141435.414_partA,664,123,0.9262048192771084,0.894938344927081,None
LogisticRegression,all,unweighted,log_20260309_141435.414_partB,627,123,0.9362041467304625,0.9231543678993335,None
LogisticRegression,all,balanced,log_20260309_141435.414_partB,627,123,0.9409888357256778,0.9276210975570877,None
RandomForest,all,unweighted,log_20260309_141435.414_partB,627,123,0.9282296650717703,0.9203570433215527,None
RandomForest,all,balanced,log_20260309_141435.414_partB,627,123,0.9154704944178629,0.9051523075255133,None
XGBoost,all,unweighted,log_20260309_141435.414_partB,627,123,0.9393939393939394,0.9244411519051154,None
XGBoost,all,balanced,log_20260309_141435.414_partB,627,123,0.9425837320574163,0.9280462002196893,None
SVM,all,unweighted,log_20260309_141435.414_partB,627,123,0.9090909090909091,0.8997045157662503,None
SVM,all,balanced,log_20260309_141435.414_partB,627,123,0.9090909090909091,0.8997045157662503,None
LogisticRegression,all,unweighted,log_20260326_120021.508,262,123,0.9847328244274809,0.99,None
LogisticRegression,all,balanced,log_20260326_120021.508,262,123,0.9847328244274809,0.99,None
RandomForest,all,unweighted,log_20260326_120021.508,262,123,0.9847328244274809,0.99,None
RandomForest,all,balanced,log_20260326_120021.508,262,123,0.9809160305343512,0.9874371859296482,None
XGBoost,all,unweighted,log_20260326_120021.508,262,123,0.9923664122137404,0.995049504950495,None
XGBoost,all,balanced,log_20260326_120021.508,262,123,0.9923664122137404,0.995049504950495,None
SVM,all,unweighted,log_20260326_120021.508,262,123,0.9809160305343512,0.9884326018808778,None
SVM,all,balanced,log_20260326_120021.508,262,123,0.9847328244274809,0.9909699153137135,None
LogisticRegression,all_no_speed,unweighted,log_20260226_102148.990,99,120,1.0,1.0,None
LogisticRegression,all_no_speed,balanced,log_20260226_102148.990,99,120,1.0,1.0,None
RandomForest,all_no_speed,unweighted,log_20260226_102148.990,99,120,0.98989898989899,0.9954128440366973,None
RandomForest,all_no_speed,balanced,log_20260226_102148.990,99,120,0.98989898989899,0.9954128440366973,None
XGBoost,all_no_speed,unweighted,log_20260226_102148.990,99,120,1.0,1.0,None
XGBoost,all_no_speed,balanced,log_20260226_102148.990,99,120,1.0,1.0,None
