model,feature_set,imbalance,accuracy_mean,accuracy_std,accuracy_median,accuracy_iqr,worst_fold_accuracy,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_iqr,worst_fold_macro_f1,robustness_score,evaluable_folds
SVM,top_mi,balanced,0.9771975287467852,0.014057776799243454,0.9727363653085626,0.015714960906484277,0.9633173843700159,0.9753653157558309,0.019054400540576128,0.9729671488977014,0.03337571369761416,0.9555269652279205,0.9658381154855428,4.0
LogisticRegression,top_mi,balanced,0.9762486032616777,0.01125612498427795,0.9756200007304869,0.0201801275985517,0.963855421686747,0.9739846463453905,0.018220870550907958,0.9749816764540147,0.03235938900776403,0.9517223589103142,0.9648742110699365,4.0
LogisticRegression,top_mi,unweighted,0.9732106882428236,0.011522009525926509,0.9718032068373571,0.015584454831146344,0.9593373493975904,0.9707413998057536,0.020308035403265274,0.972932159129954,0.031503600899279505,0.9428484073998877,0.960587382104121,4.0
SVM,top_mi,unweighted,0.9730559624817249,0.017949079401980674,0.9702083105056186,0.02238458197448845,0.9518072289156626,0.9695859845602732,0.025739128325519937,0.9716662087310091,0.04045598505986414,0.9350115207790749,0.9567164203975133,4.0
LogisticRegression,all,balanced,0.9712647523876874,0.022726622558263625,0.9720350869125356,0.03379939734099835,0.9409888357256778,0.9671478646675435,0.029264141131313048,0.9704851805565431,0.04736695477591324,0.9276210975570877,0.952515794101887,4.0
LogisticRegression,all,unweighted,0.9664138095413417,0.021989752797124788,0.9697760507679574,0.03585887128141718,0.9362041467304625,0.9632793590473063,0.030444001524303155,0.9672751121265972,0.052151950844445016,0.9231543678993335,0.9480573582851548,4.0
LogisticRegression,all_no_speed,balanced,0.9664121853204116,0.026146585974123372,0.9671146417731997,0.03784721870791541,0.9314194577352473,0.9611748985829525,0.03447360139378261,0.9646063921524479,0.056867612085916175,0.9154868100269143,0.9439380978860612,4.0
RandomForest,all,unweighted,0.9632906710543796,0.025326709945221255,0.967517014623379,0.04124104591295763,0.9282296650717703,0.9600859247321565,0.033060909934532506,0.9622869057851877,0.06033359150100448,0.9203570433215527,0.9435554697648902,4.0
LogisticRegression,all_no_speed,unweighted,0.965238231130446,0.027405290325511342,0.9663616297250068,0.039774184946073876,0.9282296650717703,0.9599389897895241,0.03565526456408301,0.9633573797160692,0.05935253331572343,0.9130411997259579,0.9421113575074825,4.0
RandomForest,top_mi,balanced,0.9608324730310263,0.018064108276563233,0.9609250398724083,0.02515435385576059,0.9367469879518072,0.9578515291982641,0.03161626825485708,0.9635252852665543,0.052595148152003945,0.9143555462599481,0.9420433950708356,4.0
RandomForest,top_mi,unweighted,0.961055877514954,0.020706116051495714,0.9617224880382775,0.02604189815252833,0.9322289156626506,0.9569770874995651,0.03443553113753273,0.9636534697409058,0.05461006209276942,0.9080640970836132,0.9397593219307987,4.0
XGBoost,all,balanced,0.9671712710075483,0.02930467499668053,0.9674750721355784,0.053903275177484056,0.9337349397590361,0.9579900339268784,0.04015034161587607,0.9615478525850922,0.07303637091377202,0.9088644305373291,0.9379148631189403,4.0
XGBoost,top_mi,balanced,0.9660639709940974,0.030795304422997084,0.9682725203014475,0.054213127025065866,0.927710843373494,0.9560714980606824,0.04241516891807713,0.9610632734521551,0.07543948591290517,0.9021594453384191,0.9348639136016438,4.0
XGBoost,all,unweighted,0.9652443047693898,0.03126413556937241,0.96588017580384,0.057425137747380894,0.9292168674698795,0.9559342119254477,0.04223524647614153,0.9597453284278052,0.07689471707248963,0.9042461908461804,0.9348165886873769,4.0
RandomForest,all_no_speed,unweighted,0.9587960407196068,0.031769116554451776,0.9649073392807873,0.054070542430016966,0.9154704944178629,0.9543525665375738,0.04013330230449392,0.9580892925159373,0.07407053311409106,0.9058188370817236,0.9342859153853269,4.0
XGBoost,all_no_speed,balanced,0.9655763746758098,0.03073799295569141,0.9642852794721015,0.05868796417269939,0.9337349397590361,0.9549387201382636,0.04276999504282757,0.9562149480622908,0.08142058922518802,0.9073249844284731,0.9335537226168499,4.0
