model,test_run,n_test,macro_f1,accuracy
Dummy (stratified),log_20260223_142511.490,293,0.17430737519430609,
Dummy (most_frequent),log_20260223_142511.490,293,0.0,0.0
Dummy (stratified),log_20260226_102148.990,145,0.2204149867266909,
Dummy (most_frequent),log_20260226_102148.990,145,0.0,0.0
Dummy (stratified),log_20260309_141435.414_partA,664,0.23214793831254338,
Dummy (most_frequent),log_20260309_141435.414_partA,664,0.15550423402617397,0.3042168674698795
Dummy (stratified),log_20260309_141435.414_partB,664,0.1985187759008134,
Dummy (most_frequent),log_20260309_141435.414_partB,664,0.07707006369426751,0.1822289156626506
Dummy (stratified),log_20260326_120021.508,580,0.17848070244642383,
Dummy (most_frequent),log_20260326_120021.508,580,0.0,0.0
