config,hidden_dims,dropout,lr,weight_decay,test_run,accuracy,macro_f1,best_epoch
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,log_20260223_142511.490,0.689419795221843,0.6227724619028967,73
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,log_20260226_102148.990,0.8482758620689655,0.8427492418318107,47
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,log_20260309_141435.414_partA,0.8599397590361446,0.8897103870788081,45
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,log_20260309_141435.414_partB,0.8765060240963856,0.8311258135327393,19
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,log_20260326_120021.508,0.45517241379310347,0.6504151501242327,44
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,log_20260223_142511.490,0.689419795221843,0.6044582760367664,33
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,log_20260226_102148.990,0.8068965517241379,0.7959435626102292,27
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,log_20260309_141435.414_partA,0.8433734939759037,0.8731186258951223,36
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,log_20260309_141435.414_partB,0.891566265060241,0.8482202814379564,20
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,log_20260326_120021.508,0.46551724137931033,0.6606875994663061,31
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,log_20260223_142511.490,0.689419795221843,0.6204256669877736,69
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,log_20260226_102148.990,0.8137931034482758,0.8113429780096446,36
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,log_20260309_141435.414_partA,0.8674698795180723,0.8853421507410562,22
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,log_20260309_141435.414_partB,0.8509036144578314,0.7955967987713265,21
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,log_20260326_120021.508,0.45689655172413796,0.6541571908751506,61
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,log_20260223_142511.490,0.6621160409556314,0.6141568937813272,50
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,log_20260226_102148.990,0.8689655172413793,0.8699985125687938,20
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,log_20260309_141435.414_partA,0.9126506024096386,0.9326396077430337,29
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,log_20260309_141435.414_partB,0.8840361445783133,0.8395696842644306,27
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,log_20260326_120021.508,0.46206896551724136,0.6549960122263607,69
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,log_20260223_142511.490,0.6757679180887372,0.6052536076173013,56
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,log_20260226_102148.990,0.8275862068965517,0.8172109291897623,59
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,log_20260309_141435.414_partA,0.8765060240963856,0.8855759219214522,50
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,log_20260309_141435.414_partB,0.875,0.7912261401664531,21
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,log_20260326_120021.508,0.45689655172413796,0.653729286399633,47
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,log_20260223_142511.490,0.6552901023890785,0.628090106350976,45
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,log_20260226_102148.990,0.8551724137931035,0.8614321230500233,29
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,log_20260309_141435.414_partA,0.8509036144578314,0.8782281562022528,29
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,log_20260309_141435.414_partB,0.8569277108433735,0.8152850867895935,20
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,log_20260326_120021.508,0.45517241379310347,0.6492335376040582,37
