model,feature_set,imbalance,test_run,n_test,n_features,accuracy,macro_f1,degenerate_classes
LogisticRegression,all,unweighted,log_20260223_142511.490,293,120,0.658703071672355,0.5973920588775518,None
LogisticRegression,all,balanced,log_20260223_142511.490,293,120,0.6552901023890785,0.5874016703585151,None
RandomForest,all,unweighted,log_20260223_142511.490,293,120,0.6348122866894198,0.6010672732044441,None
RandomForest,all,balanced,log_20260223_142511.490,293,120,0.621160409556314,0.5932323500752945,None
XGBoost,all,unweighted,log_20260223_142511.490,293,120,0.44368600682593856,0.4787529738459633,None
XGBoost,all,balanced,log_20260223_142511.490,293,120,0.4709897610921502,0.5054369909925466,None
LogisticRegression,all,unweighted,log_20260226_102148.990,145,120,0.8275862068965517,0.8153184653184654,None
LogisticRegression,all,balanced,log_20260226_102148.990,145,120,0.8482758620689655,0.842227544633043,None
RandomForest,all,unweighted,log_20260226_102148.990,145,120,0.8482758620689655,0.8328999152145578,None
RandomForest,all,balanced,log_20260226_102148.990,145,120,0.8137931034482758,0.7984060791400241,None
XGBoost,all,unweighted,log_20260226_102148.990,145,120,0.8689655172413793,0.8603022199111047,None
XGBoost,all,balanced,log_20260226_102148.990,145,120,0.8689655172413793,0.8571249530016294,None
LogisticRegression,all,unweighted,log_20260309_141435.414_partA,664,120,0.8719879518072289,0.9193136082024971,None
LogisticRegression,all,balanced,log_20260309_141435.414_partA,664,120,0.8810240963855421,0.929117403194884,None
RandomForest,all,unweighted,log_20260309_141435.414_partA,664,120,0.8629518072289156,0.8977127761055184,None
RandomForest,all,balanced,log_20260309_141435.414_partA,664,120,0.8674698795180723,0.9016287247483832,None
XGBoost,all,unweighted,log_20260309_141435.414_partA,664,120,0.8795180722891566,0.9181177720279096,None
XGBoost,all,balanced,log_20260309_141435.414_partA,664,120,0.875,0.9112943241170166,None
LogisticRegression,all,unweighted,log_20260309_141435.414_partB,664,120,0.8448795180722891,0.7523797157942391,None
LogisticRegression,all,balanced,log_20260309_141435.414_partB,664,120,0.8358433734939759,0.7468747525294648,None
RandomForest,all,unweighted,log_20260309_141435.414_partB,664,120,0.8629518072289156,0.7792093219948667,None
RandomForest,all,balanced,log_20260309_141435.414_partB,664,120,0.8629518072289156,0.7746268565565761,None
XGBoost,all,unweighted,log_20260309_141435.414_partB,664,120,0.8810240963855421,0.8202214408153978,None
XGBoost,all,balanced,log_20260309_141435.414_partB,664,120,0.875,0.8023324926107219,None
LogisticRegression,all,unweighted,log_20260326_120021.508,580,120,0.45689655172413796,0.6606732410613109,None
LogisticRegression,all,balanced,log_20260326_120021.508,580,120,0.45689655172413796,0.6600651654126793,None
RandomForest,all,unweighted,log_20260326_120021.508,580,120,0.45517241379310347,0.6602974862412613,None
RandomForest,all,balanced,log_20260326_120021.508,580,120,0.45517241379310347,0.6593083812417233,None
XGBoost,all,unweighted,log_20260326_120021.508,580,120,0.45517241379310347,0.651817819774809,None
XGBoost,all,balanced,log_20260326_120021.508,580,120,0.4586206896551724,0.6551841564084724,None
LogisticRegression,top_mi,unweighted,log_20260223_142511.490,293,25,0.6313993174061433,0.597041508309114,None
LogisticRegression,top_mi,balanced,log_20260223_142511.490,293,25,0.6279863481228669,0.585282926817001,None
RandomForest,top_mi,unweighted,log_20260223_142511.490,293,25,0.5870307167235495,0.5696315468299561,None
RandomForest,top_mi,balanced,log_20260223_142511.490,293,25,0.6006825938566553,0.5728746787095534,None
XGBoost,top_mi,unweighted,log_20260223_142511.490,293,25,0.447098976109215,0.4995298704277033,None
XGBoost,top_mi,balanced,log_20260223_142511.490,293,25,0.4539249146757679,0.5150142450142451,None
LogisticRegression,top_mi,unweighted,log_20260226_102148.990,145,25,0.8413793103448276,0.8314814814814815,None
LogisticRegression,top_mi,balanced,log_20260226_102148.990,145,25,0.8620689655172413,0.8539682539682539,None
RandomForest,top_mi,unweighted,log_20260226_102148.990,145,25,0.8137931034482758,0.8167672939417496,None
RandomForest,top_mi,balanced,log_20260226_102148.990,145,25,0.7931034482758621,0.8048741209021836,None
XGBoost,top_mi,unweighted,log_20260226_102148.990,145,25,0.8413793103448276,0.8363332179531556,None
XGBoost,top_mi,balanced,log_20260226_102148.990,145,25,0.8482758620689655,0.842005298145649,None
LogisticRegression,top_mi,unweighted,log_20260309_141435.414_partA,664,25,0.8463855421686747,0.9051443273345291,None
LogisticRegression,top_mi,balanced,log_20260309_141435.414_partA,664,25,0.8524096385542169,0.9222843369280568,None
RandomForest,top_mi,unweighted,log_20260309_141435.414_partA,664,25,0.8418674698795181,0.8914390854709057,None
RandomForest,top_mi,balanced,log_20260309_141435.414_partA,664,25,0.8328313253012049,0.8894149010860802,None
XGBoost,top_mi,unweighted,log_20260309_141435.414_partA,664,25,0.8524096385542169,0.9103226086722419,None
XGBoost,top_mi,balanced,log_20260309_141435.414_partA,664,25,0.8358433734939759,0.9093059744196941,None
LogisticRegression,top_mi,unweighted,log_20260309_141435.414_partB,664,25,0.8644578313253012,0.8137371631229855,None
LogisticRegression,top_mi,balanced,log_20260309_141435.414_partB,664,25,0.8554216867469879,0.8130242188908884,None
RandomForest,top_mi,unweighted,log_20260309_141435.414_partB,664,25,0.8509036144578314,0.7615560795793354,None
RandomForest,top_mi,balanced,log_20260309_141435.414_partB,664,25,0.8704819277108434,0.7805094233742049,None
XGBoost,top_mi,unweighted,log_20260309_141435.414_partB,664,25,0.8765060240963856,0.8016267421988782,None
XGBoost,top_mi,balanced,log_20260309_141435.414_partB,664,25,0.8765060240963856,0.8091693120439376,None
LogisticRegression,top_mi,unweighted,log_20260326_120021.508,580,25,0.45,0.6423638291080151,None
LogisticRegression,top_mi,balanced,log_20260326_120021.508,580,25,0.4482758620689655,0.6406034161800895,None
RandomForest,top_mi,unweighted,log_20260326_120021.508,580,25,0.4482758620689655,0.6495465147510902,None
RandomForest,top_mi,balanced,log_20260326_120021.508,580,25,0.44482758620689655,0.6399506419484678,None
XGBoost,top_mi,unweighted,log_20260326_120021.508,580,25,0.453448275862069,0.6461653280686798,None
XGBoost,top_mi,balanced,log_20260326_120021.508,580,25,0.453448275862069,0.6427581107201802,None
LogisticRegression,all_no_speed,unweighted,log_20260223_142511.490,293,118,0.6416382252559727,0.5884388948218736,None
LogisticRegression,all_no_speed,balanced,log_20260223_142511.490,293,118,0.6484641638225256,0.5923856987686774,None
RandomForest,all_no_speed,unweighted,log_20260223_142511.490,293,118,0.5836177474402731,0.5772657450076805,None
RandomForest,all_no_speed,balanced,log_20260223_142511.490,293,118,0.6006825938566553,0.5874967581420089,None
XGBoost,all_no_speed,unweighted,log_20260223_142511.490,293,118,0.45733788395904434,0.5002012111222761,None
