model,feature_set,imbalance,accuracy_mean,accuracy_std,accuracy_median,accuracy_iqr,worst_fold_accuracy,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_iqr,worst_fold_macro_f1,robustness_score,evaluable_folds
LogisticRegression,top_mi,balanced,0.7415814936809731,0.1699922579134268,0.8644578313253012,0.21217977712899383,0.44482758620689655,0.7751598348718551,0.1219829508118112,0.8192158178851798,0.22814463880790403,0.6256972851256731,0.7141683594659496,5.0
LogisticRegression,top_mi,unweighted,0.739805423884546,0.1692023335725065,0.8413793103448276,0.21820387351453596,0.44482758620689655,0.7714490041151605,0.11802943104282398,0.8329397358523573,0.19479749666630797,0.6271545046091874,0.7124342885937485,5.0
XGBoost,top_mi,balanced,0.7405204175534668,0.16696789652844576,0.8433734939759037,0.2101212192538543,0.45689655172413796,0.7671820330639083,0.12534759734195414,0.8478256759610766,0.20007620398785964,0.5862707776204709,0.7045082343929312,5.0
XGBoost,all,balanced,0.7390667294339178,0.17184375230615342,0.8599397590361446,0.25121807696834175,0.4586206896551724,0.7679308653789677,0.12768749816566524,0.8498123877539683,0.2085816782404577,0.5776278019674246,0.7040871162961351,5.0
RandomForest,all_no_speed,unweighted,0.7401809993888702,0.16137071971286698,0.8482758620689655,0.19441074879723674,0.45517241379310347,0.7589812364266544,0.11009809302880363,0.8006052888196523,0.17642725207522802,0.60614521578377,0.7039321899122526,5.0
RandomForest,all,unweighted,0.7391323939987323,0.16167979739612484,0.8413793103448276,0.19059685842345486,0.45,0.7570680196163925,0.10705916870509012,0.7944199325503751,0.1784898543429414,0.6209614739280572,0.7035384352638474,5.0
LogisticRegression,all_no_speed,balanced,0.7369662077756713,0.16108319663900217,0.8313253012048193,0.2068494762857479,0.453448275862069,0.761003390736416,0.11920971475351694,0.7571839646478411,0.2005276251693049,0.6035674228445312,0.7013985333596575,5.0
XGBoost,all_no_speed,balanced,0.7405922855834306,0.16931007801292774,0.8509036144578314,0.23756619983523597,0.4586206896551724,0.7654168233244736,0.12994632112789467,0.8487981083566387,0.20285543248232607,0.568113688856723,0.7004436627605263,5.0
LogisticRegression,all,balanced,0.7425175150407444,0.1638768040572064,0.8482758620689655,0.19069451868909082,0.4586206896551724,0.7597035809765194,0.12222412359139814,0.7668434785352684,0.18368029099400407,0.5944450585215479,0.6985915191808203,5.0
LogisticRegression,all,unweighted,0.7374182241499835,0.15972570518326212,0.8206896551724138,0.18989267650808006,0.45689655172413796,0.7543149637513042,0.11159134979838818,0.7712137761913962,0.14963374493035853,0.6090902222977695,0.6985192888521101,5.0
XGBoost,top_mi,unweighted,0.7394817802456146,0.1679314730071664,0.8413793103448276,0.21037049220773874,0.453448275862069,0.7606747736322779,0.12749634572016375,0.8310154277118139,0.20110471519512896,0.5781191644828648,0.696926600772196,5.0
RandomForest,all,balanced,0.7328199676427258,0.15968728824744716,0.8275862068965517,0.19481166988774212,0.45,0.748730380821044,0.10621777290168735,0.7842884593138079,0.1708321665746816,0.6094994207670265,0.6956214943702004,5.0
XGBoost,all_no_speed,unweighted,0.7403517329291274,0.17184298737452625,0.8614457831325302,0.24780510768506525,0.4586206896551724,0.7624042672223491,0.13361274708086904,0.8453983470350744,0.20436431733420846,0.5572564272648696,0.6955978936819146,5.0
RandomForest,top_mi,unweighted,0.7284552024740127,0.1558991583459168,0.8275862068965517,0.15897035239935853,0.44655172413793104,0.7494411640481647,0.1090647604102885,0.7869220798212133,0.19084710796855786,0.6059354842288003,0.6949087838430205,5.0
LogisticRegression,all_no_speed,unweighted,0.7310239545920532,0.15812754550952743,0.8358433734939759,0.18267623867247262,0.4517241379310345,0.7520785094135253,0.11547532314193074,0.7611344589413291,0.16597844123466665,0.5946517946517947,0.6943408478425599,5.0
RandomForest,all_no_speed,balanced,0.732038912387221,0.15940005618500624,0.8068965517241379,0.20234179036966982,0.4517241379310345,0.7475919812410992,0.10872349281408762,0.7879053045719712,0.15604757680338288,0.5964790764790765,0.6932302348340553,5.0
