model,feature_set,imbalance,accuracy_mean,accuracy_std,accuracy_median,accuracy_iqr,worst_fold_accuracy,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_iqr,worst_fold_macro_f1,robustness_score,evaluable_folds
LogisticRegression,all,balanced,0.7354659972123401,0.1600112205961732,0.8358433734939759,0.19298575967988707,0.45689655172413796,0.7531373072257173,0.1225365325765159,0.7468747525294648,0.1821623792203636,0.5874016703585151,0.6918690409374593,5.0
LogisticRegression,all,unweighted,0.7320106600345125,0.1565435923873231,0.8275862068965517,0.18617644639993414,0.45689655172413796,0.7490154178508128,0.11331625605132781,0.7523797157942391,0.15464522425715455,0.5973920588775518,0.6923572898251489,5.0
LogisticRegression,all_no_speed,balanced,0.7325553171849455,0.16472428609897863,0.8283132530120482,0.22050135341885369,0.44655172413793104,0.7567654943773354,0.1203535358162564,0.7540179658235213,0.20060595697811,0.5923856987686774,0.6965887264692072,5.0
LogisticRegression,all_no_speed,unweighted,0.7270916666548506,0.16394619596995041,0.8343373493975904,0.1997410850888549,0.44310344827586207,0.7502539891727581,0.11726310114370689,0.7592103770872922,0.17114584077038086,0.5884388948218736,0.6916224386009047,5.0
LogisticRegression,speed_only,balanced,0.30835947768950345,0.11710563222094257,0.29482758620689653,0.04064964104978225,0.16114457831325302,0.30905671445217453,0.10319478008353568,0.3169312701338845,0.11219248540581964,0.17207144094672058,0.2574593244104067,5.0
LogisticRegression,speed_only,unweighted,0.15380810519942548,0.12821498321308092,0.10921501706484642,0.055535936850851675,0.0,0.1385018177208751,0.08421556013877395,0.16091954022988506,0.0678627906522715,0.0,0.09639403765148813,5.0
LogisticRegression,top_mi,balanced,0.7292325002020558,0.16608989165679053,0.8524096385542169,0.22743533862412102,0.4482758620689655,0.763032630556858,0.12861836743174482,0.8130242188908884,0.2133648377881644,0.585282926817001,0.6987234468409855,5.0
LogisticRegression,top_mi,unweighted,0.7267244002489894,0.16254125657371993,0.8413793103448276,0.21498622476253137,0.45,0.757953661871225,0.11784478085201491,0.8137371631229855,0.18911765237346634,0.597041508309114,0.6990312714452176,5.0
RandomForest,all,balanced,0.7241095227089362,0.16173942313506456,0.8137931034482758,0.2417913976726016,0.45517241379310347,0.7454404783524002,0.10829406291946607,0.7746268565565761,0.13909769789830084,0.5932323500752945,0.6912934468926673,5.0
RandomForest,all,unweighted,0.7328328354018641,0.16364126848846078,0.8482758620689655,0.22813952053949582,0.45517241379310347,0.7542373545521296,0.10925416868584356,0.7792093219948667,0.17260242897329647,0.6010672732044441,0.6996102702092079,5.0
RandomForest,all_no_speed,balanced,0.7111356878614848,0.16007412529723286,0.7724137931034483,0.25624511698671815,0.45517241379310347,0.7377798710986074,0.10364340483326275,0.7609339352458618,0.13024820062803366,0.5874967581420089,0.685958168681976,5.0
RandomForest,all_no_speed,unweighted,0.7170330634057945,0.16803791493891734,0.8206896551724138,0.27180393930671487,0.453448275862069,0.7482918160389241,0.11376939156394637,0.8000562537018094,0.15605239272900762,0.5772657450076805,0.691407120256951,5.0
RandomForest,speed_only,balanced,0.4004383616613092,0.14540451244765143,0.46206896551724136,0.10392604902368091,0.13651877133105803,0.43902307167021837,0.09952471925595158,0.4175267584097859,0.08939168351609994,0.28547008547008546,0.38926071204224255,5.0
RandomForest,speed_only,unweighted,0.4006016368640385,0.14525938678719336,0.45517241379310347,0.10414416285832984,0.13993174061433447,0.4369984861548459,0.102604004729766,0.41690541338054615,0.08212673805786047,0.27819950817919387,0.3856964837899629,5.0
RandomForest,top_mi,balanced,0.7083853762702924,0.16124629359225895,0.7931034482758621,0.2321487314445495,0.44482758620689655,0.737524753204098,0.11496485588297009,0.7805094233742049,0.16492347895371573,0.5728746787095534,0.680042325262613,5.0
RandomForest,top_mi,unweighted,0.7083741533156281,0.1622489560035398,0.8137931034482758,0.25483675315596865,0.4482758620689655,0.7377881041146074,0.11530347696962395,0.7615560795793354,0.16722077919065947,0.5696315468299561,0.6801363656297954,5.0
