model,feature_set,imbalance,test_run,n_test,n_features,accuracy,macro_f1,degenerate_classes
LogisticRegression,all,unweighted,log_20260226_102148.990,99,121,0.9696969696969697,0.9837849370599531,None
LogisticRegression,all,balanced,log_20260226_102148.990,99,121,0.9797979797979798,0.9883720930232558,None
RandomForest,all,unweighted,log_20260226_102148.990,99,121,0.9797979797979798,0.9907407407407407,None
RandomForest,all,balanced,log_20260226_102148.990,99,121,0.9696969696969697,0.985981308411215,None
XGBoost,all,unweighted,log_20260226_102148.990,99,121,0.98989898989899,0.9954128440366973,None
XGBoost,all,balanced,log_20260226_102148.990,99,121,0.9797979797979798,0.9907407407407407,None
SVM,all,unweighted,log_20260226_102148.990,99,121,0.9393939393939394,0.9695041684949539,None
SVM,all,balanced,log_20260226_102148.990,99,121,0.9595959595959596,0.9802341819744333,None
LogisticRegression,all,unweighted,log_20260309_141435.414_partA,482,121,0.9398340248962656,0.9349431081585925,None
LogisticRegression,all,balanced,log_20260309_141435.414_partA,482,121,0.9439834024896265,0.9398349958334484,None
RandomForest,all,unweighted,log_20260309_141435.414_partA,482,121,0.9481327800829875,0.9421617705342004,None
RandomForest,all,balanced,log_20260309_141435.414_partA,482,121,0.950207468879668,0.9439509247728427,None
XGBoost,all,unweighted,log_20260309_141435.414_partA,482,121,0.9585062240663901,0.9574844976257428,None
XGBoost,all,balanced,log_20260309_141435.414_partA,482,121,0.9564315352697096,0.9556887608679502,None
SVM,all,unweighted,log_20260309_141435.414_partA,482,121,0.9107883817427386,0.8994595624319276,None
SVM,all,balanced,log_20260309_141435.414_partA,482,121,0.91701244813278,0.9049347060306072,None
LogisticRegression,all,unweighted,log_20260309_141435.414_partB,482,121,0.9564315352697096,0.9648594775124417,None
LogisticRegression,all,balanced,log_20260309_141435.414_partB,482,121,0.9543568464730291,0.9627498592342343,None
RandomForest,all,unweighted,log_20260309_141435.414_partB,482,121,0.9896265560165975,0.993950603851594,None
RandomForest,all,balanced,log_20260309_141435.414_partB,482,121,0.9896265560165975,0.993950603851594,None
XGBoost,all,unweighted,log_20260309_141435.414_partB,482,121,0.983402489626556,0.9887495967988005,None
XGBoost,all,balanced,log_20260309_141435.414_partB,482,121,0.9813278008298755,0.986651151844782,None
SVM,all,unweighted,log_20260309_141435.414_partB,482,121,0.9439834024896265,0.9489580226989668,None
SVM,all,balanced,log_20260309_141435.414_partB,482,121,0.950207468879668,0.9552829858069039,None
LogisticRegression,all,unweighted,log_20260326_120021.508,196,121,0.9795918367346939,0.99,None
LogisticRegression,all,balanced,log_20260326_120021.508,196,121,0.9795918367346939,0.99,None
RandomForest,all,unweighted,log_20260326_120021.508,196,121,0.9795918367346939,0.99,None
RandomForest,all,balanced,log_20260326_120021.508,196,121,0.9744897959183674,0.9874371859296482,None
XGBoost,all,unweighted,log_20260326_120021.508,196,121,0.9642857142857143,0.9822335025380711,None
XGBoost,all,balanced,log_20260326_120021.508,196,121,0.9642857142857143,0.9822335025380711,None
SVM,all,unweighted,log_20260326_120021.508,196,121,0.9795918367346939,0.99,None
SVM,all,balanced,log_20260326_120021.508,196,121,0.9846938775510204,0.9925373134328358,None
LogisticRegression,all_no_speed,unweighted,log_20260226_102148.990,99,118,0.9494949494949495,0.9753849490349165,None
LogisticRegression,all_no_speed,balanced,log_20260226_102148.990,99,118,0.98989898989899,0.9942528735632183,None
RandomForest,all_no_speed,unweighted,log_20260226_102148.990,99,118,0.9797979797979798,0.9907407407407407,None
RandomForest,all_no_speed,balanced,log_20260226_102148.990,99,118,0.9393939393939394,0.9711538461538461,None
XGBoost,all_no_speed,unweighted,log_20260226_102148.990,99,118,0.98989898989899,0.9954128440366973,None
XGBoost,all_no_speed,balanced,log_20260226_102148.990,99,118,0.98989898989899,0.9954128440366973,None
SVM,all_no_speed,unweighted,log_20260226_102148.990,99,118,0.9292929292929293,0.964562569213732,None
SVM,all_no_speed,balanced,log_20260226_102148.990,99,118,0.9494949494949495,0.9753849490349165,None
LogisticRegression,all_no_speed,unweighted,log_20260309_141435.414_partA,482,118,0.941908713692946,0.9367572786690433,None
