test_run,class,train_count,test_count,count_flag,speed_tvd,speed_flag
log_20260223_142511.490,cobbelstone,355,0,OK,,NA
log_20260223_142511.490,dry_dirt_track,652,0,OK,,NA
log_20260223_142511.490,grass,462,26,OK,,NA
log_20260223_142511.490,muddy_dirt_track,46,99,LOW,,NA
log_20260223_142511.490,smooth_terrain,538,168,OK,,NA
log_20260226_102148.990,cobbelstone,355,0,OK,,NA
log_20260226_102148.990,dry_dirt_track,652,0,OK,,NA
log_20260226_102148.990,grass,444,44,OK,,NA
log_20260226_102148.990,muddy_dirt_track,99,46,OK,,NA
log_20260226_102148.990,smooth_terrain,651,55,OK,,NA
log_20260309_141435.414_partA,cobbelstone,355,0,OK,,NA
log_20260309_141435.414_partA,dry_dirt_track,258,394,OK,,NA
log_20260309_141435.414_partA,grass,420,68,OK,,NA
log_20260309_141435.414_partA,muddy_dirt_track,145,0,OK,,NA
log_20260309_141435.414_partA,smooth_terrain,504,202,OK,,NA
log_20260309_141435.414_partB,cobbelstone,318,37,OK,,NA
log_20260309_141435.414_partB,dry_dirt_track,394,258,OK,,NA
log_20260309_141435.414_partB,grass,240,248,OK,,NA
log_20260309_141435.414_partB,muddy_dirt_track,145,0,OK,,NA
log_20260309_141435.414_partB,smooth_terrain,585,121,OK,,NA
log_20260326_120021.508,cobbelstone,37,318,LOW,,NA
log_20260326_120021.508,dry_dirt_track,652,0,OK,,NA
log_20260326_120021.508,grass,386,102,OK,,NA
log_20260326_120021.508,muddy_dirt_track,145,0,OK,,NA
log_20260326_120021.508,smooth_terrain,546,160,OK,,NA
