feature_set,test_run,n_test,n_features,n_train,n_val,accuracy,macro_f1,best_epoch,early_stopped
all,log_20260223_142511.490,293,120,1745,308,0.6621160409556314,0.5783226723525231,25,True
all,log_20260226_102148.990,145,120,1870,331,0.7862068965517242,0.7463878423785766,29,True
all,log_20260309_141435.414_partA,664,120,1429,253,0.8689759036144579,0.8838757440960023,35,True
all,log_20260309_141435.414_partB,664,120,1429,253,0.8629518072289156,0.7310208410751889,13,True
all,log_20260326_120021.508,580,120,1501,265,0.45689655172413796,0.6485791776901446,44,True
top_mi,log_20260223_142511.490,293,25,1745,308,0.6006825938566553,0.5381256700622611,46,True
top_mi,log_20260226_102148.990,145,25,1870,331,0.8896551724137931,0.880537580886013,47,True
top_mi,log_20260309_141435.414_partA,664,25,1429,253,0.8433734939759037,0.8881905543491603,63,True
top_mi,log_20260309_141435.414_partB,664,25,1429,253,0.8478915662650602,0.7567376482495803,61,True
top_mi,log_20260326_120021.508,580,25,1501,265,0.4482758620689655,0.6408296440269229,52,True
all_no_speed,log_20260223_142511.490,293,118,1745,308,0.6245733788395904,0.5688289664655106,22,True
all_no_speed,log_20260226_102148.990,145,118,1870,331,0.8275862068965517,0.8006004405258137,38,True
all_no_speed,log_20260309_141435.414_partA,664,118,1429,253,0.8433734939759037,0.8841797723365556,9,True
all_no_speed,log_20260309_141435.414_partB,664,118,1429,253,0.8554216867469879,0.7581414824818127,31,True
all_no_speed,log_20260326_120021.508,580,118,1501,265,0.4482758620689655,0.6534813892949639,32,True
