model,feature_set,imbalance,test_run,n_test,accuracy,macro_f1,degenerate_classes
LogisticRegression,all,unweighted,log_20260223_142511.490,293,0.6552901023890785,0.6138326546997763,None
LogisticRegression,all,balanced,log_20260223_142511.490,293,0.6655290102389079,0.6263322696669503,None
RandomForest,all,unweighted,log_20260223_142511.490,293,0.6621160409556314,0.6093931226006698,None
RandomForest,all,balanced,log_20260223_142511.490,293,0.6655290102389079,0.6071340654422226,None
XGBoost,all,unweighted,log_20260223_142511.490,293,0.6348122866894198,0.5635442886251948,None
XGBoost,all,balanced,log_20260223_142511.490,293,0.6177474402730375,0.5716249159645387,None
SVM,all,unweighted,log_20260223_142511.490,293,0.45733788395904434,0.5189007512850929,None
SVM,all,balanced,log_20260223_142511.490,293,0.5255972696245734,0.6045414490980461,None
LogisticRegression,all,unweighted,log_20260226_102148.990,145,0.8,0.7743315713000595,None
LogisticRegression,all,balanced,log_20260226_102148.990,145,0.8413793103448276,0.8282386301964615,None
RandomForest,all,unweighted,log_20260226_102148.990,145,0.8482758620689655,0.8328999152145578,None
RandomForest,all,balanced,log_20260226_102148.990,145,0.8275862068965517,0.8141539010148137,None
XGBoost,all,unweighted,log_20260226_102148.990,145,0.8758620689655172,0.8623151453340133,None
XGBoost,all,balanced,log_20260226_102148.990,145,0.8620689655172413,0.8540668490260942,None
SVM,all,unweighted,log_20260226_102148.990,145,0.6758620689655173,0.5696969696969697,None
SVM,all,balanced,log_20260226_102148.990,145,0.8275862068965517,0.813645892891176,None
LogisticRegression,all,unweighted,log_20260309_141435.414_partA,664,0.8810240963855421,0.9215871953066462,None
LogisticRegression,all,balanced,log_20260309_141435.414_partA,664,0.891566265060241,0.9228441168226208,None
RandomForest,all,unweighted,log_20260309_141435.414_partA,664,0.858433734939759,0.898596297184513,None
RandomForest,all,balanced,log_20260309_141435.414_partA,664,0.8599397590361446,0.891733090757481,None
XGBoost,all,unweighted,log_20260309_141435.414_partA,664,0.8599397590361446,0.8824406365342462,None
XGBoost,all,balanced,log_20260309_141435.414_partA,664,0.8554216867469879,0.8878657995861662,None
SVM,all,unweighted,log_20260309_141435.414_partA,664,0.8192771084337349,0.8551964289514569,None
SVM,all,balanced,log_20260309_141435.414_partA,664,0.8313253012048193,0.8798954603297634,None
LogisticRegression,all,unweighted,log_20260309_141435.414_partB,664,0.8614457831325302,0.8006701084300143,None
LogisticRegression,all,balanced,log_20260309_141435.414_partB,664,0.8448795180722891,0.7868036574467003,None
RandomForest,all,unweighted,log_20260309_141435.414_partB,664,0.8689759036144579,0.7988170298644566,None
RandomForest,all,balanced,log_20260309_141435.414_partB,664,0.8674698795180723,0.7860634682426445,None
XGBoost,all,unweighted,log_20260309_141435.414_partB,664,0.9006024096385542,0.8557917942438225,None
