model,feature_set,imbalance,accuracy_mean,accuracy_std,accuracy_median,accuracy_iqr,worst_fold_accuracy,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_iqr,worst_fold_macro_f1,robustness_score,evaluable_folds
LogisticRegression,all,balanced,0.7346861897395395,0.1578800236938481,0.8283132530120482,0.18957279039661057,0.4586206896551724,0.7592004753232277,0.11120266172872223,0.7657471330409638,0.17366119447666029,0.614284337797323,0.7035991444588665,5.0
LogisticRegression,all,unweighted,0.7247468419045134,0.1548380811220223,0.8,0.19490933015337808,0.45689655172413796,0.7461376884978145,0.10788001352840881,0.7716373089507419,0.11648856417844056,0.6038715890303558,0.6921976817336101,5.0
LogisticRegression,top_mi,balanced,0.6843828934662978,0.14620374335592776,0.7409638554216867,0.176631440437518,0.42758620689655175,0.7322489382788286,0.096568759692094,0.7459052295617041,0.19101039873399428,0.6149243921397396,0.6839645584327816,5.0
LogisticRegression,top_mi,unweighted,0.6407364257548023,0.1307159736337173,0.6758620689655173,0.15664192606603888,0.4224137931034483,0.6688852788684001,0.09963026552062941,0.6347751195758664,0.15347757442019738,0.5707123878277436,0.6190701461080854,5.0
RandomForest,all,balanced,0.721035574568487,0.15854024390465846,0.7931034482758621,0.23647148320243427,0.45517241379310347,0.7482087599319194,0.1044217069589161,0.7884399551066217,0.13075428363210073,0.6046084663465051,0.6959979064524613,5.0
RandomForest,all,unweighted,0.7256084854895632,0.16075245489387158,0.8068965517241379,0.24440252477486746,0.4586206896551724,0.7520615605951386,0.10562835555060622,0.7932567412186837,0.13174764902590608,0.6038863008971704,0.6992473828198356,5.0
RandomForest,top_mi,balanced,0.7115336880061142,0.16967437672744715,0.8102409638554217,0.25784880134873966,0.4396551724137931,0.7438478291933902,0.12350745968793177,0.756508854256578,0.21813717996565252,0.5665471923536439,0.6820940993494243,5.0
RandomForest,top_mi,unweighted,0.7192266795793271,0.16557940304777358,0.8192771084337349,0.2241200296064806,0.4413793103448276,0.7480621137798286,0.11414737608597096,0.743424452162439,0.21429458165612125,0.598329156223893,0.690988425736843,5.0
XGBoost,all,balanced,0.7049312301577736,0.1970453155398724,0.8482758620689655,0.40250421481146426,0.45689655172413796,0.7416169833673717,0.1462427876686008,0.8000619264998324,0.17908362628535357,0.5028273352663596,0.6684955895330713,5.0
XGBoost,all,unweighted,0.6988988246737686,0.19677181294905988,0.8344827586206897,0.39045602204038,0.44655172413793104,0.7308295879211747,0.14615452556278155,0.7937216475807426,0.17665909391563828,0.4907777212054845,0.6577523251397839,5.0
XGBoost,top_mi,balanced,0.7125598545765974,0.17440696983291246,0.7906626506024096,0.29599798511451947,0.44655172413793104,0.7506073063599586,0.12681414932074903,0.7727941617197401,0.2271918315189142,0.5633043568180235,0.6872002316995841,5.0
XGBoost,top_mi,unweighted,0.7120841586896012,0.1734467374840054,0.7951807228915663,0.29599798511451947,0.44655172413793104,0.7467557903870469,0.1281679488408612,0.7769408896711307,0.22034895302516422,0.5523768025163741,0.6826718159666163,5.0
